Year_range,NDVI,Freq,Select_num
2017_2019,-16,29,0.0
2017_2019,-15,141,0.0
2017_2019,-14,611,0.0
2017_2019,-13,2265,0.0
2017_2019,-12,4875,0.0
2017_2019,-11,8919,0.0
2017_2019,-10,17124,0.0
2017_2019,-9,91619,1.0
2017_2019,-8,355777,3.0
2017_2019,-7,754951,7.0
2017_2019,-6,1333162,12.0
2017_2019,-5,1745773,16.0
2017_2019,-4,2967999,28.0
2017_2019,-3,3472757,32.0
2017_2019,-2,3589517,34.0
2017_2019,-1,3260642,30.0
2017_2019,0,7096607,66.0
2017_2019,1,4045891,38.0
2017_2019,2,4739873,44.0
2017_2019,3,4647439,43.0
2017_2019,4,7280240,68.0
2017_2019,5,9245206,86.0
2017_2019,6,12280500,115.0
2017_2019,7,14418931,135.0
2017_2019,8,20565894,192.0
2017_2019,9,26554226,248.0
2017_2019,10,37683275,352.0
2017_2019,11,51102417,478.0
2017_2019,12,65656197,614.0
2017_2019,13,76609648,716.0
2017_2019,14,87553115,818.0
2017_2019,15,90099749,842.0
2017_2019,16,95551613,893.0
2017_2019,17,89665441,838.0
2017_2019,18,81862258,765.0
2017_2019,19,72720326,680.0
2017_2019,20,63277221,592.0
2017_2019,21,49688012,465.0
2017_2019,22,35653099,333.0
2017_2019,23,22156027,207.0
2017_2019,24,11351882,106.0
2017_2019,25,5252649,49.0
2017_2019,26,2462975,23.0
2017_2019,27,1251970,12.0
2017_2019,28,788292,7.0
2017_2019,29,366718,3.0
2017_2019,30,253978,2.0
2017_2019,31,124643,1.0
2017_2019,32,57495,1.0
2017_2019,33,22000,0.0
2017_2019,34,7596,0.0
2017_2019,35,2212,0.0
2017_2019,36,623,0.0
2017_2019,37,162,0.0
2017_2019,38,28,0.0
2017_2019,39,3,0.0
2017_2019,40,1,0.0
2014_2016,-20,2,0.0
2014_2016,-19,6,0.0
2014_2016,-18,29,0.0
2014_2016,-17,125,0.0
2014_2016,-16,216,0.0
2014_2016,-15,176,0.0
2014_2016,-14,410,0.0
2014_2016,-13,667,0.0
2014_2016,-12,664,0.0
2014_2016,-11,1104,0.0
2014_2016,-10,2304,0.0
2014_2016,-9,68752,1.0
2014_2016,-8,520507,5.0
2014_2016,-7,731568,7.0
2014_2016,-6,1059056,10.0
2014_2016,-5,1476672,14.0
2014_2016,-4,3495426,33.0
2014_2016,-3,3398243,32.0
2014_2016,-2,3529171,33.0
2014_2016,-1,3348540,31.0
2014_2016,0,6979596,65.0
2014_2016,1,3781843,35.0
2014_2016,2,4538911,42.0
2014_2016,3,4732520,44.0
2014_2016,4,7556200,71.0
2014_2016,5,10169380,95.0
2014_2016,6,13056742,122.0
2014_2016,7,15846293,148.0
2014_2016,8,23857499,223.0
2014_2016,9,33937680,317.0
2014_2016,10,49022238,458.0
2014_2016,11,66019204,617.0
2014_2016,12,84303824,788.0
2014_2016,13,94998447,888.0
2014_2016,14,100281427,937.0
2014_2016,15,94483484,883.0
2014_2016,16,90700337,848.0
2014_2016,17,81582572,763.0
2014_2016,18,71597530,669.0
2014_2016,19,62479566,584.0
2014_2016,20,49971607,467.0
2014_2016,21,36197491,338.0
2014_2016,22,23052558,216.0
2014_2016,23,12883972,120.0
2014_2016,24,5816362,54.0
2014_2016,25,2169322,20.0
2014_2016,26,1083548,10.0
2014_2016,27,567699,5.0
2014_2016,28,270266,3.0
2014_2016,29,102942,1.0
2014_2016,30,23344,0.0
2014_2016,31,3843,0.0
2014_2016,32,590,0.0
2014_2016,33,107,0.0
2014_2016,34,7,0.0
2014_2016,35,2,0.0
2011_2013,-51,20,0.0
2011_2013,-50,161,0.0
2011_2013,-49,571,0.0
2011_2013,-48,1468,0.0
2011_2013,-47,3994,0.0
2011_2013,-46,22669,0.0
2011_2013,-45,34712,0.0
2011_2013,-44,152886,1.0
2011_2013,-43,318614,3.0
2011_2013,-42,574722,5.0
2011_2013,-41,672708,6.0
2011_2013,-40,898084,8.0
2011_2013,-39,957542,9.0
2011_2013,-38,1095078,10.0
2011_2013,-37,1093366,10.0
2011_2013,-36,1225650,11.0
2011_2013,-35,1348019,13.0
2011_2013,-34,1378804,13.0
2011_2013,-33,1273808,12.0
2011_2013,-32,1664405,16.0
2011_2013,-31,1876216,18.0
2011_2013,-30,2016131,19.0
2011_2013,-29,2475388,23.0
2011_2013,-28,3013919,28.0
2011_2013,-27,3691255,35.0
2011_2013,-26,4775121,45.0
2011_2013,-25,5666755,53.0
2011_2013,-24,6663089,62.0
2011_2013,-23,8326463,78.0
2011_2013,-22,9630220,90.0
2011_2013,-21,11727915,110.0
2011_2013,-20,15078206,141.0
2011_2013,-19,19597198,183.0
2011_2013,-18,25268088,236.0
2011_2013,-17,29328413,274.0
2011_2013,-16,39009628,365.0
2011_2013,-15,40288499,377.0
2011_2013,-14,44839626,419.0
2011_2013,-13,47374660,443.0
2011_2013,-12,51001520,477.0
2011_2013,-11,52289456,489.0
2011_2013,-10,54172422,506.0
2011_2013,-9,53805056,503.0
2011_2013,-8,58017444,542.0
2011_2013,-7,56165438,525.0
2011_2013,-6,55026996,514.0
2011_2013,-5,50657747,474.0
2011_2013,-4,47864536,447.0
2011_2013,-3,41699127,390.0
2011_2013,-2,36552303,342.0
2011_2013,-1,30930102,289.0
2011_2013,0,47839558,447.0
2011_2013,1,18516602,173.0
2011_2013,2,15730768,147.0
2011_2013,3,13274650,124.0
2011_2013,4,11280287,105.0
2011_2013,5,9096203,85.0
2011_2013,6,7500279,70.0
2011_2013,7,6063823,57.0
2011_2013,8,5038830,47.0
2011_2013,9,3943837,37.0
2011_2013,10,2928237,27.0
2011_2013,11,2153937,20.0
2011_2013,12,1583333,15.0
2011_2013,13,1085681,10.0
2011_2013,14,803839,8.0
2011_2013,15,449870,4.0
2011_2013,16,362855,3.0
2011_2013,17,185712,2.0
2011_2013,18,131967,1.0
2011_2013,19,78415,1.0
2011_2013,20,46432,0.0
2011_2013,21,29903,0.0
2011_2013,22,12125,0.0
2011_2013,23,8817,0.0
2011_2013,24,4873,0.0
2011_2013,25,2697,0.0
2011_2013,26,1356,0.0
2011_2013,27,791,0.0
2011_2013,28,405,0.0
2011_2013,29,184,0.0
2011_2013,30,74,0.0
2011_2013,31,25,0.0
2011_2013,32,8,0.0
2011_2013,33,1,0.0
2008_2010,-39,7,0.0
2008_2010,-38,31,0.0
2008_2010,-37,31,0.0
2008_2010,-36,90,0.0
2008_2010,-35,116,0.0
2008_2010,-34,270,0.0
2008_2010,-33,387,0.0
2008_2010,-32,830,0.0
2008_2010,-31,1622,0.0
2008_2010,-30,3433,0.0
2008_2010,-29,5894,0.0
2008_2010,-28,6674,0.0
2008_2010,-27,12915,0.0
2008_2010,-26,21198,0.0
2008_2010,-25,60689,1.0
2008_2010,-24,123465,1.0
2008_2010,-23,513085,5.0
2008_2010,-22,658391,6.0
2008_2010,-21,633183,6.0
2008_2010,-20,914698,9.0
2008_2010,-19,1575582,15.0
2008_2010,-18,1658797,16.0
2008_2010,-17,1636458,15.0
2008_2010,-16,1882511,18.0
2008_2010,-15,1971585,18.0
2008_2010,-14,2211075,21.0
2008_2010,-13,2330534,22.0
2008_2010,-12,2561085,24.0
2008_2010,-11,2579578,24.0
2008_2010,-10,2644709,25.0
2008_2010,-9,2650298,25.0
2008_2010,-8,3074261,29.0
2008_2010,-7,3032179,28.0
2008_2010,-6,3592776,34.0
2008_2010,-5,4215261,39.0
2008_2010,-4,5642125,53.0
2008_2010,-3,6436072,60.0
2008_2010,-2,7880561,74.0
2008_2010,-1,9550327,89.0
2008_2010,0,28978271,271.0
2008_2010,1,22675073,212.0
2008_2010,2,31239105,292.0
2008_2010,3,35303532,330.0
2008_2010,4,47403218,443.0
2008_2010,5,55354242,517.0
2008_2010,6,64569381,604.0
2008_2010,7,67188673,628.0
2008_2010,8,74818618,699.0
2008_2010,9,74443190,696.0
2008_2010,10,71681743,670.0
2008_2010,11,68775771,643.0
2008_2010,12,62911034,588.0
2008_2010,13,57141777,534.0
2008_2010,14,50429622,471.0
2008_2010,15,41990934,393.0
2008_2010,16,37145168,347.0
2008_2010,17,29068919,272.0
2008_2010,18,22388578,209.0
2008_2010,19,16489257,154.0
2008_2010,20,12014985,112.0
2008_2010,21,8723093,82.0
2008_2010,22,6253847,58.0
2008_2010,23,4298915,40.0
2008_2010,24,2955010,28.0
2008_2010,25,2051594,19.0
2008_2010,26,1310462,12.0
2008_2010,27,884036,8.0
2008_2010,28,517964,5.0
2008_2010,29,303907,3.0
2008_2010,30,162080,2.0
2008_2010,31,57634,1.0
2008_2010,32,52733,0.0
2008_2010,33,7012,0.0
2008_2010,34,12313,0.0
2008_2010,35,7942,0.0
2008_2010,36,5243,0.0
2008_2010,37,3026,0.0
2008_2010,38,1300,0.0
2008_2010,39,432,0.0
2008_2010,40,113,0.0
2008_2010,41,33,0.0
2008_2010,42,23,0.0
2008_2010,43,8,0.0
2005_2007,-37,2,0.0
2005_2007,-36,5,0.0
2005_2007,-35,7,0.0
2005_2007,-34,56,0.0
