system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000bb5,28,26,21,53,42,195,23,0,378,825,-113,-12,12,-109,18,6,-4,25,3,12,-564,103,-21,-19,17,-23,-9,3,1305,-101,-36,8,-127,-10,7,-7,13.156641,362.25,0.28416777,98019.336,0.011830334,143.0,291.16998,5.5619974,"{""type"":""Point"",""coordinates"":[118.23145023753615,30.131514762157206]}"
00000000000000000bb1,27,23,19,74,47,195,22,0,360,1228,-152,45,-26,-117,11,-7,-7,27,6,11,-911,110,-18,-8,1,-12,11,5,1378,-98,0,-28,-143,5,-20,-8,22.817133,358.0,0.2541678,97731.336,0.011498667,144.0,290.05,4.2339973,"{""type"":""Point"",""coordinates"":[118.49313258285758,30.14418306825005]}"
00000000000000000bb6,28,24,20,41,32,191,18,0,541,1478,-64,-16,18,-76,-10,15,-9,19,5,6,1,75,-17,-21,10,2,0,-1,1660,-33,-48,0,-129,-8,18,-10,31.140583,358.0,0.2541678,97731.336,0.011498667,144.0,290.05,4.2339973,"{""type"":""Point"",""coordinates"":[118.44974107050652,30.101603112290693]}"
00000000000000000ba8,28,22,16,25,12,185,6,0,519,742,-235,-3,43,-33,-40,39,-3,23,-4,13,232,-18,-26,1,15,-16,-20,-3,1447,-185,-59,17,-101,-36,31,-8,37.094833,349.91666,0.23500112,96711.336,0.010655667,145.0,288.68332,3.6819973,"{""type"":""Point"",""coordinates"":[118.58637684498623,30.460569665295196]}"
00000000000000000bbc,27,21,17,28,19,185,8,0,620,1214,-171,-52,11,-96,-18,-12,-7,21,1,9,-803,-37,-59,-11,62,-23,-18,4,2147,-116,-104,-19,-157,-32,-24,-14,22.111076,349.91666,0.23500112,96711.336,0.010655667,145.0,288.68332,3.6819973,"{""type"":""Point"",""coordinates"":[118.54379688902686,30.491827963679846]}"
00000000000000000c4f,28,23,17,37,22,187,10,0,282,161,-187,40,-33,-21,6,10,0,19,0,7,-282,30,-58,-25,32,19,-16,0,288,-183,1,-32,-38,6,16,0,23.921904,344.75,0.16666777,98777.336,0.009407334,145.0,287.57,1.1573305,"{""type"":""Point"",""coordinates"":[116.28354545155092,31.342084893449858]}"
00000000000000000623,42,48,53,72,73,201,58,1,373,141,-32,5,-15,-11,4,3,0,10,13,0,179,-2,-27,-41,-5,15,18,-1,337,-35,0,-12,-10,6,1,-1,6.552982,340.16666,0.18333444,96756.664,0.008606333,148.0,286.98,1.3879973,"{""type"":""Point"",""coordinates"":[116.35361130640374,30.84837322481233]}"
000000000000000018e3,42,46,54,68,83,203,72,0,107,-257,-30,-10,18,2,3,-10,2,10,13,0,-107,41,26,-20,48,-32,1,0,16,-23,-9,11,10,-10,-6,0,2.158674,341.41666,0.09250111,99502.664,0.008715667,148.0,287.54666,2.2199972,"{""type"":""Point"",""coordinates"":[113.52688458930017,33.0107964442767]}"
00000000000000000922,31,30,31,59,56,201,41,1,94,14,-103,12,38,-25,11,-39,1,16,12,5,249,66,6,17,3,-17,-39,-2,332,-92,-6,53,-31,1,-44,-1,3.5451849,345.33334,0.109167784,100398.664,0.009016667,148.0,288.23666,2.3746638,"{""type"":""Point"",""coordinates"":[114.0329970179673,32.69252364748594]}"
00000000000000001bc9,28,25,19,67,36,197,16,0,82,1038,-138,0,122,-17,76,-176,-5,28,2,13,-733,102,7,-73,-18,-60,57,3,1441,-122,-16,112,-18,54,-171,-8,1.101428,345.33334,0.109167784,100398.664,0.009016667,148.0,288.23666,2.3746638,"{""type"":""Point"",""coordinates"":[114.09875092210142,32.65048324275405]}"
