Tree,CrossFolds,Accuracy,Year,In_Bands
1,split0_test_score,0.7841823056300268,1990_1992,Spectrum
1,split1_test_score,0.7813547954393025,1990_1992,Spectrum
1,split2_test_score,0.7545271629778671,1990_1992,Spectrum
1,split3_test_score,0.7733065057008719,1990_1992,Spectrum
2,split0_test_score,0.7486595174262735,1990_1992,Spectrum
2,split1_test_score,0.7665995975855131,1990_1992,Spectrum
2,split2_test_score,0.7391012743125419,1990_1992,Spectrum
2,split3_test_score,0.7813547954393025,1990_1992,Spectrum
3,split0_test_score,0.7982573726541555,1990_1992,Spectrum
3,split1_test_score,0.7967806841046278,1990_1992,Spectrum
3,split2_test_score,0.7853789403085177,1990_1992,Spectrum
3,split3_test_score,0.8001341381623072,1990_1992,Spectrum
4,split0_test_score,0.7848525469168901,1990_1992,Spectrum
4,split1_test_score,0.8108651911468813,1990_1992,Spectrum
4,split2_test_score,0.7974513749161637,1990_1992,Spectrum
4,split3_test_score,0.7987927565392354,1990_1992,Spectrum
5,split0_test_score,0.8156836461126006,1990_1992,Spectrum
5,split1_test_score,0.8189134808853119,1990_1992,Spectrum
5,split2_test_score,0.8008048289738431,1990_1992,Spectrum
5,split3_test_score,0.823608316566063,1990_1992,Spectrum
6,split0_test_score,0.8136729222520107,1990_1992,Spectrum
6,split1_test_score,0.8175720992622401,1990_1992,Spectrum
6,split2_test_score,0.8001341381623072,1990_1992,Spectrum
6,split3_test_score,0.8209255533199196,1990_1992,Spectrum
7,split0_test_score,0.8170241286863271,1990_1992,Spectrum
7,split1_test_score,0.8262910798122066,1990_1992,Spectrum
7,split2_test_score,0.8095238095238095,1990_1992,Spectrum
7,split3_test_score,0.8148893360160966,1990_1992,Spectrum
8,split0_test_score,0.8136729222520107,1990_1992,Spectrum
8,split1_test_score,0.8229376257545271,1990_1992,Spectrum
8,split2_test_score,0.7934272300469484,1990_1992,Spectrum
8,split3_test_score,0.8222669349429913,1990_1992,Spectrum
9,split0_test_score,0.8304289544235925,1990_1992,Spectrum
9,split1_test_score,0.8350100603621731,1990_1992,Spectrum
9,split2_test_score,0.8169014084507042,1990_1992,Spectrum
9,split3_test_score,0.8222669349429913,1990_1992,Spectrum
10,split0_test_score,0.82171581769437,1990_1992,Spectrum
10,split1_test_score,0.8215962441314554,1990_1992,Spectrum
10,split2_test_score,0.8021462105969148,1990_1992,Spectrum
10,split3_test_score,0.8276324614352784,1990_1992,Spectrum
11,split0_test_score,0.8344504021447721,1990_1992,Spectrum
