Year,Size,Acc_type,Acc_value
Landsat_1990_1992,0.10,acc_test,0.7671140939597315
Landsat_1990_1992,0.10,acc_RF,0.2
Landsat_1990_1992,0.40,acc_test,0.8232918209357118
Landsat_1990_1992,0.40,acc_RF,0.6956521739130435
Landsat_1990_1992,0.70,acc_test,0.8573598919648886
Landsat_1990_1992,0.70,acc_RF,0.8048780487804879
Landsat_1990_1992,1.00,acc_test,0.8504910260751778
Landsat_1990_1992,1.00,acc_RF,0.9152542372881356
Landsat_1990_1992,1.50,acc_test,0.8946562287270252
Landsat_1990_1992,1.50,acc_RF,0.8314606741573034
Landsat_1990_1992,10.00,acc_test,0.9292233190538275
Landsat_1990_1992,10.00,acc_RF,0.912751677852349
Landsat_1990_1992,15.00,acc_test,0.9307828830605404
Landsat_1990_1992,15.00,acc_RF,0.9284116331096197
Landsat_1990_1992,2.00,acc_test,0.8862470065001711
Landsat_1990_1992,2.00,acc_RF,0.8907563025210085
Landsat_1990_1992,20.00,acc_test,0.9310561609388097
Landsat_1990_1992,20.00,acc_RF,0.9354568315171836
Landsat_1990_1992,25.00,acc_test,0.9318283415288332
Landsat_1990_1992,25.00,acc_RF,0.9396378269617707
Landsat_1990_1992,30.00,acc_test,0.9336685823754789
Landsat_1990_1992,30.00,acc_RF,0.9379541643376188
Landsat_1990_1992,35.00,acc_test,0.9383702939659618
Landsat_1990_1992,35.00,acc_RF,0.9463344513655966
Landsat_1990_1992,40.00,acc_test,0.9385474860335196
Landsat_1990_1992,40.00,acc_RF,0.9316561844863732
Landsat_1990_1992,45.00,acc_test,0.9366046936909479
Landsat_1990_1992,45.00,acc_RF,0.9433681073025335
Landsat_1990_1992,5.00,acc_test,0.9255337921298747
Landsat_1990_1992,5.00,acc_RF,0.9161073825503355
Landsat_1990_1992,50.00,acc_test,0.9373114314448542
Landsat_1990_1992,50.00,acc_RF,0.9419852448021462
Landsat_1990_1992,55.00,acc_test,0.9396648044692737
Landsat_1990_1992,55.00,acc_RF,0.9426829268292682
Landsat_1990_1992,60.00,acc_test,0.9417435037720033
Landsat_1990_1992,60.00,acc_RF,0.9393685386979603
Landsat_1990_1992,65.00,acc_test,0.9425287356321839
Landsat_1990_1992,65.00,acc_RF,0.9417075058034563
Landsat_1990_1992,70.00,acc_test,0.9435754189944134
Landsat_1990_1992,70.00,acc_RF,0.9425149700598803
Landsat_1990_1992,75.00,acc_test,0.9390080428954424
Landsat_1990_1992,75.00,acc_RF,0.944556226246367
Landsat_1990_1992,80.00,acc_test,0.9404861693210393
Landsat_1990_1992,80.00,acc_RF,0.9419530595138307
Landsat_1990_1992,85.00,acc_test,0.9407821229050279
Landsat_1990_1992,85.00,acc_RF,0.9439842209072978
Landsat_1990_1992,90.00,acc_test,0.9430485762144054
Landsat_1990_1992,90.00,acc_RF,0.9465350223546944
Landsat_1990_1992,95.00,acc_test,0.9464882943143813
Landsat_1990_1992,95.00,acc_RF,0.9454641722555595
Landsat_1993_1995,0.10,acc_test,0.6062072417820791
Landsat_1993_1995,0.10,acc_RF,0.4
Landsat_1993_1995,0.40,acc_test,0.770041841004184
Landsat_1993_1995,0.40,acc_RF,0.6086956521739131
Landsat_1993_1995,0.70,acc_test,0.8282692630518718
Landsat_1993_1995,0.70,acc_RF,0.7317073170731707
Landsat_1993_1995,1.00,acc_test,0.8501431217376663
Landsat_1993_1995,1.00,acc_RF,0.711864406779661
Landsat_1993_1995,1.50,acc_test,0.8898290742934507
Landsat_1993_1995,1.50,acc_RF,0.8426966292134831
Landsat_1993_1995,10.00,acc_test,0.9299870346360437
Landsat_1993_1995,10.00,acc_RF,0.9232053422370617
Landsat_1993_1995,15.00,acc_test,0.9288095705040204
Landsat_1993_1995,15.00,acc_RF,0.9221357063403782
Landsat_1993_1995,2.00,acc_test,0.9061064806939956
Landsat_1993_1995,2.00,acc_RF,0.8487394957983193
Landsat_1993_1995,20.00,acc_test,0.9322775578245468
Landsat_1993_1995,20.00,acc_RF,0.9374478732276897
Landsat_1993_1995,25.00,acc_test,0.9348744165370082
Landsat_1993_1995,25.00,acc_RF,0.9352901934623082
Landsat_1993_1995,30.00,acc_test,0.9371278875922838
Landsat_1993_1995,30.00,acc_RF,0.9438576987215119
Landsat_1993_1995,35.00,acc_test,0.933572710951526
Landsat_1993_1995,35.00,acc_RF,0.9418770843258695
Landsat_1993_1995,40.00,acc_test,0.9349819394276188
Landsat_1993_1995,40.00,acc_RF,0.9424760316798666
Landsat_1993_1995,45.00,acc_test,0.9357381024552894
Landsat_1993_1995,45.00,acc_RF,0.9399777695442757
Landsat_1993_1995,5.00,acc_test,0.9180557992630286
Landsat_1993_1995,5.00,acc_RF,0.9230769230769231
Landsat_1993_1995,50.00,acc_test,0.9366455485161721
Landsat_1993_1995,50.00,acc_RF,0.9423141047015672
Landsat_1993_1995,55.00,acc_test,0.9374074074074074
Landsat_1993_1995,55.00,acc_RF,0.9417828987265009
Landsat_1993_1995,60.00,acc_test,0.9404166666666667
Landsat_1993_1995,60.00,acc_RF,0.9405225125069483
Landsat_1993_1995,65.00,acc_test,0.9395238095238095
Landsat_1993_1995,65.00,acc_RF,0.9425346331452027
Landsat_1993_1995,70.00,acc_test,0.9444444444444444
Landsat_1993_1995,70.00,acc_RF,0.9425917103382563
Landsat_1993_1995,75.00,acc_test,0.9446666666666667
Landsat_1993_1995,75.00,acc_RF,0.9415295686971987
Landsat_1993_1995,80.00,acc_test,0.9391666666666667
Landsat_1993_1995,80.00,acc_RF,0.9374739474781159
Landsat_1993_1995,85.00,acc_test,0.9377777777777778
Landsat_1993_1995,85.00,acc_RF,0.9452726559435073
Landsat_1993_1995,90.00,acc_test,0.935
Landsat_1993_1995,90.00,acc_RF,0.9396072619488699
Landsat_1993_1995,95.00,acc_test,0.9233333333333333
Landsat_1993_1995,95.00,acc_RF,0.9443664443664443
Landsat_1996_1998,0.10,acc_test,0.6849958088851634
Landsat_1996_1998,0.10,acc_RF,0.4
Landsat_1996_1998,0.40,acc_test,0.7470993778375652
Landsat_1996_1998,0.40,acc_RF,0.6521739130434783
Landsat_1996_1998,0.70,acc_test,0.855118907066959
Landsat_1996_1998,0.70,acc_RF,0.8292682926829268
Landsat_1996_1998,1.00,acc_test,0.8697343935036372
Landsat_1996_1998,1.00,acc_RF,0.847457627118644
Landsat_1996_1998,1.50,acc_test,0.8857337187553137
Landsat_1996_1998,1.50,acc_RF,0.8876404494382022
Landsat_1996_1998,10.00,acc_test,0.9331968738369929
Landsat_1996_1998,10.00,acc_RF,0.9211409395973155
Landsat_1996_1998,15.00,acc_test,0.9353694581280788
Landsat_1996_1998,15.00,acc_RF,0.9027932960893855
Landsat_1996_1998,2.00,acc_test,0.9213809605195693
Landsat_1996_1998,2.00,acc_RF,0.8907563025210085
Landsat_1996_1998,20.00,acc_test,0.9371859296482412
Landsat_1996_1998,20.00,acc_RF,0.9262981574539364
Landsat_1996_1998,25.00,acc_test,0.9338990620812863
Landsat_1996_1998,25.00,acc_RF,0.9202412868632708
Landsat_1996_1998,30.00,acc_test,0.9370662837999522
Landsat_1996_1998,30.00,acc_RF,0.9274148520379676
Landsat_1996_1998,35.00,acc_test,0.9368719402215924
Landsat_1996_1998,35.00,acc_RF,0.9286740067017711
Landsat_1996_1998,40.00,acc_test,0.9394362266257327
Landsat_1996_1998,40.00,acc_RF,0.9275240888144114
Landsat_1996_1998,45.00,acc_test,0.9363580998781973
Landsat_1996_1998,45.00,acc_RF,0.9329858525688757
Landsat_1996_1998,5.00,acc_test,0.9153737658674189
Landsat_1996_1998,5.00,acc_RF,0.9362416107382551
Landsat_1996_1998,50.00,acc_test,0.9433835845896147
Landsat_1996_1998,50.00,acc_RF,0.9319932998324958
Landsat_1996_1998,55.00,acc_test,0.9411983624860439
Landsat_1996_1998,55.00,acc_RF,0.9348157173317088
Landsat_1996_1998,60.00,acc_test,0.9396984924623115
Landsat_1996_1998,60.00,acc_RF,0.9332774986041318
Landsat_1996_1998,65.00,acc_test,0.9416267942583733
Landsat_1996_1998,65.00,acc_RF,0.9384020618556701
Landsat_1996_1998,70.00,acc_test,0.9430485762144054
Landsat_1996_1998,70.00,acc_RF,0.9389806173725772
Landsat_1996_1998,75.00,acc_test,0.9517749497655726
Landsat_1996_1998,75.00,acc_RF,0.9412553048916685
Landsat_1996_1998,80.00,acc_test,0.9539363484087102
Landsat_1996_1998,80.00,acc_RF,0.9382328308207705
Landsat_1996_1998,85.00,acc_test,0.9553571428571429
Landsat_1996_1998,85.00,acc_RF,0.9377217185652346
Landsat_1996_1998,90.00,acc_test,0.9631490787269682
Landsat_1996_1998,90.00,acc_RF,0.9424902289223898
Landsat_1996_1998,95.00,acc_test,0.9632107023411371
Landsat_1996_1998,95.00,acc_RF,0.9384588256039499
Landsat_1999_2001,0.10,acc_test,0.5411725405044262
Landsat_1999_2001,0.10,acc_RF,0.6
Landsat_1999_2001,0.40,acc_test,0.8091807672977048
Landsat_1999_2001,0.40,acc_RF,0.5652173913043478
Landsat_1999_2001,0.70,acc_test,0.8321290539405142
Landsat_1999_2001,0.70,acc_RF,0.6585365853658537
Landsat_1999_2001,1.00,acc_test,0.8761166357660543
Landsat_1999_2001,1.00,acc_RF,0.7627118644067796
Landsat_1999_2001,1.50,acc_test,0.8907335253261054
Landsat_1999_2001,1.50,acc_RF,0.8539325842696629
Landsat_1999_2001,10.00,acc_test,0.9161876506582607
Landsat_1999_2001,10.00,acc_RF,0.9115191986644408
Landsat_1999_2001,15.00,acc_test,0.923046721633294
Landsat_1999_2001,15.00,acc_RF,0.910913140311804
Landsat_1999_2001,2.00,acc_test,0.8932402520006811
Landsat_1999_2001,2.00,acc_RF,0.8823529411764706
Landsat_1999_2001,20.00,acc_test,0.9284522319566124
Landsat_1999_2001,20.00,acc_RF,0.9173622704507512
Landsat_1999_2001,25.00,acc_test,0.92880978865406
Landsat_1999_2001,25.00,acc_RF,0.9311957247828991
Landsat_1999_2001,30.00,acc_test,0.9275327771156138
Landsat_1999_2001,30.00,acc_RF,0.9254312743461325
Landsat_1999_2001,35.00,acc_test,0.9324775353016688
Landsat_1999_2001,35.00,acc_RF,0.9279923700524559
Landsat_1999_2001,40.00,acc_test,0.9346496106785317
Landsat_1999_2001,40.00,acc_RF,0.9303005008347245
Landsat_1999_2001,45.00,acc_test,0.9356796116504854
Landsat_1999_2001,45.00,acc_RF,0.9310089020771514
Landsat_1999_2001,5.00,acc_test,0.9107676093448094
Landsat_1999_2001,5.00,acc_RF,0.8896321070234113
Landsat_1999_2001,50.00,acc_test,0.9375834445927904
Landsat_1999_2001,50.00,acc_RF,0.9315754339118825
Landsat_1999_2001,55.00,acc_test,0.9354838709677419
Landsat_1999_2001,55.00,acc_RF,0.9271623672230652
Landsat_1999_2001,60.00,acc_test,0.9403420942845223
Landsat_1999_2001,60.00,acc_RF,0.9268428372739916
Landsat_1999_2001,65.00,acc_test,0.9399428026692088
Landsat_1999_2001,65.00,acc_RF,0.9306625577812019
Landsat_1999_2001,70.00,acc_test,0.9410456062291435
Landsat_1999_2001,70.00,acc_RF,0.9303767286599904
Landsat_1999_2001,75.00,acc_test,0.9425901201602136
Landsat_1999_2001,75.00,acc_RF,0.9310191366266133
Landsat_1999_2001,80.00,acc_test,0.9424520433694745
Landsat_1999_2001,80.00,acc_RF,0.9334446067181306
Landsat_1999_2001,85.00,acc_test,0.9399332591768632
Landsat_1999_2001,85.00,acc_RF,0.9342234439426664
Landsat_1999_2001,90.00,acc_test,0.9416666666666667
Landsat_1999_2001,90.00,acc_RF,0.9336053412462908
Landsat_1999_2001,95.00,acc_test,0.9633333333333334
Landsat_1999_2001,95.00,acc_RF,0.9339423752635277
Landsat_2002_2004,0.10,acc_test,0.5744645247657296
Landsat_2002_2004,0.10,acc_RF,0.4
Landsat_2002_2004,0.40,acc_test,0.7896945283652232
Landsat_2002_2004,0.40,acc_RF,0.8260869565217391
Landsat_2002_2004,0.70,acc_test,0.8235690235690236
Landsat_2002_2004,0.70,acc_RF,0.9024390243902439
Landsat_2002_2004,1.00,acc_test,0.848193177980412
Landsat_2002_2004,1.00,acc_RF,0.8305084745762712
Landsat_2002_2004,1.50,acc_test,0.8314663951120163
Landsat_2002_2004,1.50,acc_RF,0.8764044943820225
Landsat_2002_2004,10.00,acc_test,0.9190042727103845
Landsat_2002_2004,10.00,acc_RF,0.9063545150501672
Landsat_2002_2004,15.00,acc_test,0.923682140047207
Landsat_2002_2004,15.00,acc_RF,0.915273132664437
Landsat_2002_2004,2.00,acc_test,0.8763220743773457
Landsat_2002_2004,2.00,acc_RF,0.8571428571428571
Landsat_2002_2004,20.00,acc_test,0.9222570532915361
Landsat_2002_2004,20.00,acc_RF,0.919732441471572
Landsat_2002_2004,25.00,acc_test,0.9286669638876505
Landsat_2002_2004,25.00,acc_RF,0.9170568561872909
Landsat_2002_2004,30.00,acc_test,0.9283496536899928
Landsat_2002_2004,30.00,acc_RF,0.9163879598662207
Landsat_2002_2004,35.00,acc_test,0.9326131687242798
Landsat_2002_2004,35.00,acc_RF,0.9216435738174868
Landsat_2002_2004,40.00,acc_test,0.9308999721370855
Landsat_2002_2004,40.00,acc_RF,0.9243311036789298
Landsat_2002_2004,45.00,acc_test,0.9337386018237082
Landsat_2002_2004,45.00,acc_RF,0.9241917502787068
Landsat_2002_2004,5.00,acc_test,0.9116508271735304
Landsat_2002_2004,5.00,acc_RF,0.8929765886287625
Landsat_2002_2004,50.00,acc_test,0.9348044132397192
Landsat_2002_2004,50.00,acc_RF,0.92876254180602
Landsat_2002_2004,55.00,acc_test,0.9361069836552749
Landsat_2002_2004,55.00,acc_RF,0.9303739738522347
Landsat_2002_2004,60.00,acc_test,0.9327204346009194
Landsat_2002_2004,60.00,acc_RF,0.9292084726867336
Landsat_2002_2004,65.00,acc_test,0.9364851957975168
Landsat_2002_2004,65.00,acc_RF,0.9331103678929766
Landsat_2002_2004,70.00,acc_test,0.9259052924791087
Landsat_2002_2004,70.00,acc_RF,0.9309603440038222
Landsat_2002_2004,75.00,acc_test,0.9258021390374331
Landsat_2002_2004,75.00,acc_RF,0.9342251950947603
Landsat_2002_2004,80.00,acc_test,0.9323308270676691
Landsat_2002_2004,80.00,acc_RF,0.9320652173913043
Landsat_2002_2004,85.00,acc_test,0.933184855233853
Landsat_2002_2004,85.00,acc_RF,0.9333071021050561
Landsat_2002_2004,90.00,acc_test,0.9282136894824707
Landsat_2002_2004,90.00,acc_RF,0.9316239316239316
Landsat_2002_2004,95.00,acc_test,0.9266666666666666
Landsat_2002_2004,95.00,acc_RF,0.9346945960218271
Landsat_2005_2007,0.10,acc_test,0.7585804731756082
Landsat_2005_2007,0.10,acc_RF,0.3333333333333333
Landsat_2005_2007,0.40,acc_test,0.7571858288770054
Landsat_2005_2007,0.40,acc_RF,0.5416666666666666
Landsat_2005_2007,0.70,acc_test,0.8769694937981898
Landsat_2005_2007,0.70,acc_RF,0.8095238095238095
Landsat_2005_2007,1.00,acc_test,0.8809683927370545
Landsat_2005_2007,1.00,acc_RF,0.7833333333333333
Landsat_2005_2007,1.50,acc_test,0.9018249408583981
Landsat_2005_2007,1.50,acc_RF,0.8777777777777778
Landsat_2005_2007,10.00,acc_test,0.9188239644970414
Landsat_2005_2007,10.00,acc_RF,0.9116666666666666
Landsat_2005_2007,15.00,acc_test,0.9253965145878207
Landsat_2005_2007,15.00,acc_RF,0.9211986681465039
Landsat_2005_2007,2.00,acc_test,0.8933423913043478
Landsat_2005_2007,2.00,acc_RF,0.925
Landsat_2005_2007,20.00,acc_test,0.9259413355523195
Landsat_2005_2007,20.00,acc_RF,0.9142381348875936
Landsat_2005_2007,25.00,acc_test,0.9323274905702241
Landsat_2005_2007,25.00,acc_RF,0.9327115256495669
Landsat_2005_2007,30.00,acc_test,0.932001902044698
Landsat_2005_2007,30.00,acc_RF,0.93007769145394
Landsat_2005_2007,35.00,acc_test,0.9308755760368663
Landsat_2005_2007,35.00,acc_RF,0.9281636536631779
Landsat_2005_2007,40.00,acc_test,0.9339805825242719
Landsat_2005_2007,40.00,acc_RF,0.9346650020807324
Landsat_2005_2007,45.00,acc_test,0.9316187594553706
Landsat_2005_2007,45.00,acc_RF,0.9367369589345172
Landsat_2005_2007,5.00,acc_test,0.8985634197617379
Landsat_2005_2007,5.00,acc_RF,0.93
Landsat_2005_2007,50.00,acc_test,0.9350865512649801
Landsat_2005_2007,50.00,acc_RF,0.9370838881491345
Landsat_2005_2007,55.00,acc_test,0.9363905325443787
Landsat_2005_2007,55.00,acc_RF,0.934322033898305
Landsat_2005_2007,60.00,acc_test,0.9330282861896838
Landsat_2005_2007,60.00,acc_RF,0.9298002219755827
Landsat_2005_2007,65.00,acc_test,0.9353304802662863
Landsat_2005_2007,65.00,acc_RF,0.9275288092189501
Landsat_2005_2007,70.00,acc_test,0.9334442595673876
Landsat_2005_2007,70.00,acc_RF,0.9365041617122474
Landsat_2005_2007,75.00,acc_test,0.9400798934753661
Landsat_2005_2007,75.00,acc_RF,0.9307589880159787
Landsat_2005_2007,80.00,acc_test,0.9367720465890182
Landsat_2005_2007,80.00,acc_RF,0.9307116104868914
Landsat_2005_2007,85.00,acc_test,0.9490022172949002
Landsat_2005_2007,85.00,acc_RF,0.9339992166079123
Landsat_2005_2007,90.00,acc_test,0.940099833610649
Landsat_2005_2007,90.00,acc_RF,0.9328648048825596
Landsat_2005_2007,95.00,acc_test,0.9435215946843853
Landsat_2005_2007,95.00,acc_RF,0.9334151042579288
Landsat_2008_2010,0.10,acc_test,0.5653475224476222
Landsat_2008_2010,0.10,acc_RF,0.3333333333333333
Landsat_2008_2010,0.40,acc_test,0.816711140760507
Landsat_2008_2010,0.40,acc_RF,0.5833333333333334
Landsat_2008_2010,0.70,acc_test,0.8599866175978588
Landsat_2008_2010,0.70,acc_RF,0.8571428571428571
Landsat_2008_2010,1.00,acc_test,0.8701342281879194
Landsat_2008_2010,1.00,acc_RF,0.9
Landsat_2008_2010,1.50,acc_test,0.8807757166947724
Landsat_2008_2010,1.50,acc_RF,0.8555555555555555
Landsat_2008_2010,10.00,acc_test,0.9058866949621701
Landsat_2008_2010,10.00,acc_RF,0.9051580698835274
Landsat_2008_2010,15.00,acc_test,0.9122704181320829
Landsat_2008_2010,15.00,acc_RF,0.9002217294900222
Landsat_2008_2010,2.00,acc_test,0.8910169491525424
Landsat_2008_2010,2.00,acc_RF,0.85
Landsat_2008_2010,20.00,acc_test,0.9150747508305648
Landsat_2008_2010,20.00,acc_RF,0.9144518272425249
Landsat_2008_2010,25.00,acc_test,0.920947741364039
Landsat_2008_2010,25.00,acc_RF,0.9148936170212766
Landsat_2008_2010,30.00,acc_test,0.9224015187470337
Landsat_2008_2010,30.00,acc_RF,0.9174972314507198
Landsat_2008_2010,35.00,acc_test,0.9233520694941236
Landsat_2008_2010,35.00,acc_RF,0.9178537511870846
Landsat_2008_2010,40.00,acc_test,0.9266537503459729
Landsat_2008_2010,40.00,acc_RF,0.9140008309098463
Landsat_2008_2010,45.00,acc_test,0.9266304347826086
Landsat_2008_2010,45.00,acc_RF,0.9146971935007385
Landsat_2008_2010,5.00,acc_test,0.8875677566008043
Landsat_2008_2010,5.00,acc_RF,0.9235880398671097
Landsat_2008_2010,50.00,acc_test,0.9229235880398671
Landsat_2008_2010,50.00,acc_RF,0.9215946843853821
Landsat_2008_2010,55.00,acc_test,0.9280177187153932
Landsat_2008_2010,55.00,acc_RF,0.920869827846572
Landsat_2008_2010,60.00,acc_test,0.9240033222591362
Landsat_2008_2010,60.00,acc_RF,0.9233111849390919
Landsat_2008_2010,65.00,acc_test,0.9307071665875652
Landsat_2008_2010,65.00,acc_RF,0.9271658573984155
Landsat_2008_2010,70.00,acc_test,0.9219269102990033
Landsat_2008_2010,70.00,acc_RF,0.9247745609871856
