year,seed,band,importance
Sentinel_2014_2016,0,DEM,109.91513170120102
Sentinel_2014_2016,0,EVI_sin_1,117.74035424590993
Sentinel_2014_2016,0,EVI_t,73.92213538663046
Sentinel_2014_2016,0,Landsat_B7,109.85371460098696
Sentinel_2014_2016,0,Landsat_B8,97.41663428092264
Sentinel_2014_2016,0,Mean_NDBI,72.33280340735989
Sentinel_2014_2016,0,Mean_NDVI,86.59534440364729
Sentinel_2014_2016,0,NDVI_sin_3,94.62871941889144
Sentinel_2014_2016,0,SLOPE,96.901553927265
Sentinel_2014_2016,0,Sentinel_B12,120.0436348419829
Sentinel_2014_2016,0,Sentinel_B7,116.12740605434635
Sentinel_2014_2016,0,Sentinel_B9,115.09908185481433
Sentinel_2014_2016,0,prec,100.9837284083552
Sentinel_2014_2016,0,random,93.70410069372994
Sentinel_2014_2016,0,shum,118.24478366453147
Sentinel_2014_2016,0,srad,99.45823573577779
Sentinel_2014_2016,1,DEM,99.26020172518271
Sentinel_2014_2016,1,EVI_sin_1,117.1473075573737
Sentinel_2014_2016,1,EVI_t,59.52111450502213
Sentinel_2014_2016,1,Landsat_B7,92.54960032102306
Sentinel_2014_2016,1,Landsat_B8,80.55374585360852
Sentinel_2014_2016,1,Mean_NDBI,79.94422954565734
Sentinel_2014_2016,1,Mean_NDVI,93.40975947108531
Sentinel_2014_2016,1,NDVI_sin_3,103.4787090934546
Sentinel_2014_2016,1,SLOPE,95.13852690150046
Sentinel_2014_2016,1,Sentinel_B12,127.91128796567592
Sentinel_2014_2016,1,Sentinel_B7,107.44416045670988
Sentinel_2014_2016,1,Sentinel_B9,108.17522339127703
Sentinel_2014_2016,1,prec,110.74703520452631
Sentinel_2014_2016,1,random,92.39129243071163
Sentinel_2014_2016,1,shum,120.76117292801887
Sentinel_2014_2016,1,srad,95.72516107558933
Sentinel_2014_2016,2,DEM,107.11078084935018
Sentinel_2014_2016,2,EVI_sin_1,133.82058798063233
Sentinel_2014_2016,2,EVI_t,69.23577345651401
Sentinel_2014_2016,2,Landsat_B7,107.9483469243759
Sentinel_2014_2016,2,Landsat_B8,88.7744608249674
Sentinel_2014_2016,2,Mean_NDBI,82.01359270644247
Sentinel_2014_2016,2,Mean_NDVI,100.52601334859075
Sentinel_2014_2016,2,NDVI_sin_3,99.50478193225419
Sentinel_2014_2016,2,SLOPE,99.97020037301243
Sentinel_2014_2016,2,Sentinel_B12,130.2120389408927
Sentinel_2014_2016,2,Sentinel_B7,112.34908396965005
Sentinel_2014_2016,2,Sentinel_B9,111.13163145972389
Sentinel_2014_2016,2,prec,97.70311517231005
Sentinel_2014_2016,2,random,97.54803910390756
Sentinel_2014_2016,2,shum,123.53862527302917
Sentinel_2014_2016,2,srad,105.72201341140924
Sentinel_2014_2016,3,DEM,108.87276678865297
Sentinel_2014_2016,3,EVI_sin_1,112.35658632552008
Sentinel_2014_2016,3,EVI_t,70.29624021100959
Sentinel_2014_2016,3,Landsat_B7,105.5544536289314
Sentinel_2014_2016,3,Landsat_B8,93.30004579493458
Sentinel_2014_2016,3,Mean_NDBI,68.25326248168604
Sentinel_2014_2016,3,Mean_NDVI,101.78520017082938
Sentinel_2014_2016,3,NDVI_sin_3,93.03660263757537
Sentinel_2014_2016,3,SLOPE,107.5347216590805
Sentinel_2014_2016,3,Sentinel_B12,128.932736006897
Sentinel_2014_2016,3,Sentinel_B7,116.10760116890994
Sentinel_2014_2016,3,Sentinel_B9,117.0820677155038
Sentinel_2014_2016,3,prec,102.5159145252797
Sentinel_2014_2016,3,random,93.50234684397938
Sentinel_2014_2016,3,shum,117.91238164064798
Sentinel_2014_2016,3,srad,106.26069623710677
Sentinel_2014_2016,4,DEM,103.83984518872234
Sentinel_2014_2016,4,EVI_sin_1,110.18541054166012
Sentinel_2014_2016,4,EVI_t,65.99186902852185
Sentinel_2014_2016,4,Landsat_B7,99.20570807024255
Sentinel_2014_2016,4,Landsat_B8,87.28645903453966
Sentinel_2014_2016,4,Mean_NDBI,79.29081663291053
Sentinel_2014_2016,4,Mean_NDVI,91.13759639725919
Sentinel_2014_2016,4,NDVI_sin_3,102.65849763173352
Sentinel_2014_2016,4,SLOPE,103.377146300343
Sentinel_2014_2016,4,Sentinel_B12,119.01367295903604
Sentinel_2014_2016,4,Sentinel_B7,120.10352760436444
Sentinel_2014_2016,4,Sentinel_B9,107.09411931681721
Sentinel_2014_2016,4,prec,100.78397012605822
Sentinel_2014_2016,4,random,85.54601387689868
Sentinel_2014_2016,4,shum,121.53820878125768
Sentinel_2014_2016,4,srad,106.94223434782384
Sentinel_2014_2016,5,DEM,100.57416883404596
Sentinel_2014_2016,5,EVI_sin_1,122.25073902469816
Sentinel_2014_2016,5,EVI_t,67.89198572242721
Sentinel_2014_2016,5,Landsat_B7,100.32430756983428
Sentinel_2014_2016,5,Landsat_B8,88.74633066637409
Sentinel_2014_2016,5,Mean_NDBI,72.19572118779742
Sentinel_2014_2016,5,Mean_NDVI,89.10213787185624
Sentinel_2014_2016,5,NDVI_sin_3,99.33034512376939
Sentinel_2014_2016,5,SLOPE,97.39221225062391
Sentinel_2014_2016,5,Sentinel_B12,124.9254117519675
Sentinel_2014_2016,5,Sentinel_B7,115.5380749650433
Sentinel_2014_2016,5,Sentinel_B9,116.12382864963287
Sentinel_2014_2016,5,prec,98.37039483972323
Sentinel_2014_2016,5,random,93.86875546450361
Sentinel_2014_2016,5,shum,112.06307876573334
Sentinel_2014_2016,5,srad,98.22006877394962
Sentinel_2014_2016,6,DEM,102.76856852051739
Sentinel_2014_2016,6,EVI_sin_1,114.79301808468394
Sentinel_2014_2016,6,EVI_t,71.98022829498981
Sentinel_2014_2016,6,Landsat_B7,101.56251026734728
Sentinel_2014_2016,6,Landsat_B8,85.64642105138577
Sentinel_2014_2016,6,Mean_NDBI,82.50378922213248
Sentinel_2014_2016,6,Mean_NDVI,78.67806401857936
Sentinel_2014_2016,6,NDVI_sin_3,87.7246749486495
Sentinel_2014_2016,6,SLOPE,96.98050158544203
Sentinel_2014_2016,6,Sentinel_B12,120.21713959541252
Sentinel_2014_2016,6,Sentinel_B7,116.2357944585828
Sentinel_2014_2016,6,Sentinel_B9,108.7057276858269
Sentinel_2014_2016,6,prec,103.45121910857073
Sentinel_2014_2016,6,random,93.14566974102684
Sentinel_2014_2016,6,shum,112.02341900490835
Sentinel_2014_2016,6,srad,108.43511580148741
Sentinel_2014_2016,7,DEM,98.37778163555203
Sentinel_2014_2016,7,EVI_sin_1,107.11339828607854
Sentinel_2014_2016,7,EVI_t,70.7414835621928
Sentinel_2014_2016,7,Landsat_B7,96.93781619219672
Sentinel_2014_2016,7,Landsat_B8,84.0390180400134
Sentinel_2014_2016,7,Mean_NDBI,67.23969444766816
