year,seed,band,importance
1990_1992,0,B7,99.61659982209459
1990_1992,0,DEM,87.29807478319997
1990_1992,0,EVI_sin_2,95.36531061751138
1990_1992,0,Mean_EVI,89.83702316793718
1990_1992,0,Mean_NDBI,90.47558139837712
1990_1992,0,NDBI_cos_3,101.57203845416349
1990_1992,0,NDBI_sin_2,95.96114074701597
1990_1992,0,NDBI_sin_3,83.04223131523133
1990_1992,0,NDVI_cos_3,94.14811816437022
1990_1992,0,SLOPE,90.37794501350298
1990_1992,0,prec,96.24024539107153
1990_1992,0,pres,89.1163260170766
1990_1992,0,random,73.48232316782858
1990_1992,0,shum,94.55694518770642
1990_1992,0,temp,103.29665278215384
1990_1992,0,wind,81.48489781823037
1990_1992,1,B7,96.5253421181874
1990_1992,1,DEM,88.10192367617624
1990_1992,1,EVI_sin_2,98.02181271356986
1990_1992,1,Mean_EVI,93.36190334010833
1990_1992,1,Mean_NDBI,90.27761431181517
1990_1992,1,NDBI_cos_3,100.68995814925489
1990_1992,1,NDBI_sin_2,94.95304609616987
1990_1992,1,NDBI_sin_3,79.94409810492996
1990_1992,1,NDVI_cos_3,100.06915488375009
1990_1992,1,SLOPE,90.96765553588516
1990_1992,1,prec,92.8221644943362
1990_1992,1,pres,86.81667539983609
1990_1992,1,random,83.4360414870145
1990_1992,1,shum,105.15762087867124
1990_1992,1,temp,98.07187474917757
1990_1992,1,wind,86.19754581438973
1990_1992,2,B7,94.93392094616459
1990_1992,2,DEM,85.22682183511259
1990_1992,2,EVI_sin_2,100.32438315150966
1990_1992,2,Mean_EVI,87.7281553483591
1990_1992,2,Mean_NDBI,89.34569020714001
1990_1992,2,NDBI_cos_3,88.18919118503057
1990_1992,2,NDBI_sin_2,98.73908980109938
1990_1992,2,NDBI_sin_3,76.68766816515607
1990_1992,2,NDVI_cos_3,87.70708001501704
1990_1992,2,SLOPE,91.90685127042661
1990_1992,2,prec,83.04616947531487
1990_1992,2,pres,75.47512570934099
1990_1992,2,random,81.64983642035196
1990_1992,2,shum,97.74092703204896
1990_1992,2,temp,91.27382115714215
1990_1992,2,wind,85.99335305586403
1990_1992,3,B7,95.97853868747433
1990_1992,3,DEM,79.26809983139667
1990_1992,3,EVI_sin_2,92.03423710722276
1990_1992,3,Mean_EVI,91.28269996515593
1990_1992,3,Mean_NDBI,85.81640886822805
1990_1992,3,NDBI_cos_3,95.57346496311948
1990_1992,3,NDBI_sin_2,79.00613676696818
1990_1992,3,NDBI_sin_3,92.37926004782791
1990_1992,3,NDVI_cos_3,84.7062102346399
1990_1992,3,SLOPE,94.8797578644584
1990_1992,3,prec,87.91832615306244
1990_1992,3,pres,82.31806736458103
1990_1992,3,random,89.50958261455828
1990_1992,3,shum,90.15540021812777
1990_1992,3,temp,93.13710054504753
1990_1992,3,wind,82.12422770907727
1990_1992,4,B7,102.54359878390851
1990_1992,4,DEM,84.86488174766595
1990_1992,4,EVI_sin_2,90.80928851229501
1990_1992,4,Mean_EVI,90.6962388077005
1990_1992,4,Mean_NDBI,82.2995899271873
1990_1992,4,NDBI_cos_3,100.81848136464328
1990_1992,4,NDBI_sin_2,99.24348405399984
1990_1992,4,NDBI_sin_3,89.98051377223125
1990_1992,4,NDVI_cos_3,97.67099336067986
1990_1992,4,SLOPE,93.04576717214705
1990_1992,4,prec,80.2682311435191
1990_1992,4,pres,85.30296467571515
1990_1992,4,random,78.05966173959897
1990_1992,4,shum,95.14378647617329
