Sensor,Span,Harmonic,Index,Mean_Err
Landsat_5,1,1,EVI,117.29
Landsat_5,1,1,NDBI,103.42
Landsat_5,1,1,NDVI,117.24
Landsat_5,1,2,EVI,97.37
Landsat_5,1,2,NDBI,89.8
Landsat_5,1,2,NDVI,101.45
Landsat_5,1,3,EVI,72.51
Landsat_5,1,3,NDBI,73.76
Landsat_5,1,3,NDVI,82.98
Landsat_5,1,4,EVI,56.927083333333336
Landsat_5,1,4,NDBI,59.572916666666664
Landsat_5,1,4,NDVI,67.75
Landsat_5,1,5,EVI,52.348837209302324
Landsat_5,1,5,NDBI,52.69767441860465
Landsat_5,1,5,NDVI,62.116279069767444
Landsat_5,1,6,EVI,42.6
Landsat_5,1,6,NDBI,47.8421052631579
Landsat_5,1,6,NDVI,49.75
Landsat_5,1,7,EVI,42.50847457627118
Landsat_5,1,7,NDBI,50.22950819672131
Landsat_5,1,7,NDVI,49.31147540983606
Landsat_5,1,8,EVI,42.145833333333336
Landsat_5,1,8,NDBI,52.673469387755105
Landsat_5,1,8,NDVI,49.673469387755105
Landsat_5,1,9,EVI,39.15
Landsat_5,1,9,NDBI,44.888888888888886
Landsat_5,1,9,NDVI,44.61363636363637
Landsat_5,1,10,EVI,29.58974358974359
Landsat_5,1,10,NDBI,37.19047619047619
Landsat_5,1,10,NDVI,35.048780487804876
Landsat_5,2,1,EVI,65.745
Landsat_5,2,1,NDBI,59.295
Landsat_5,2,1,NDVI,65.485
Landsat_5,2,2,EVI,58.965
Landsat_5,2,2,NDBI,55.195
Landsat_5,2,2,NDVI,60.665
Landsat_5,2,3,EVI,48.65
Landsat_5,2,3,NDBI,49.235
Landsat_5,2,3,NDVI,53.715
Landsat_5,2,4,EVI,45.45
Landsat_5,2,4,NDBI,46.21
Landsat_5,2,4,NDVI,50.915
Landsat_5,2,5,EVI,42.285
Landsat_5,2,5,NDBI,43.645
Landsat_5,2,5,NDVI,47.77
Landsat_5,2,6,EVI,39.985
Landsat_5,2,6,NDBI,41.04
Landsat_5,2,6,NDVI,45.17
Landsat_5,2,7,EVI,36.63
Landsat_5,2,7,NDBI,37.655
Landsat_5,2,7,NDVI,41.66
Landsat_5,2,8,EVI,34.75257731958763
Landsat_5,2,8,NDBI,36.46907216494845
Landsat_5,2,8,NDVI,39.48453608247423
Landsat_5,2,9,EVI,32.56842105263158
Landsat_5,2,9,NDBI,34.294736842105266
Landsat_5,2,9,NDVI,36.96842105263158
Landsat_5,2,10,EVI,29.30851063829787
Landsat_5,2,10,NDBI,31.05851063829787
Landsat_5,2,10,NDVI,32.787234042553195
Landsat_5,3,1,EVI,47.57666666666666
Landsat_5,3,1,NDBI,41.58333333333334
Landsat_5,3,1,NDVI,45.51666666666665
Landsat_5,3,2,EVI,43.64999999999999
Landsat_5,3,2,NDBI,39.48333333333333
Landsat_5,3,2,NDVI,42.843333333333334
Landsat_5,3,3,EVI,36.74333333333334
Landsat_5,3,3,NDBI,35.28
Landsat_5,3,3,NDVI,38.82333333333334
Landsat_5,3,4,EVI,35.04666666666667
Landsat_5,3,4,NDBI,33.63333333333334
Landsat_5,3,4,NDVI,37.66999999999999
Landsat_5,3,5,EVI,33.76666666666667
Landsat_5,3,5,NDBI,32.68666666666667
Landsat_5,3,5,NDVI,36.376666666666644
Landsat_5,3,6,EVI,32.70333333333333
Landsat_5,3,6,NDBI,31.583333333333325
Landsat_5,3,6,NDVI,35.43333333333332
Landsat_5,3,7,EVI,31.70333333333333
Landsat_5,3,7,NDBI,30.593333333333334
Landsat_5,3,7,NDVI,34.46999999999998
Landsat_5,3,8,EVI,30.72999999999999
Landsat_5,3,8,NDBI,29.620000000000005
Landsat_5,3,8,NDVI,33.21333333333333
Landsat_5,3,9,EVI,29.499999999999996
Landsat_5,3,9,NDBI,28.46666666666668
Landsat_5,3,9,NDVI,31.98666666666666
Landsat_5,3,10,EVI,28.30666666666666
Landsat_5,3,10,NDBI,27.479999999999997
Landsat_5,3,10,NDVI,30.89333333333333
Landsat_5,4,1,EVI,36.33
Landsat_5,4,1,NDBI,31.015
Landsat_5,4,1,NDVI,34.6675
Landsat_5,4,2,EVI,33.575
Landsat_5,4,2,NDBI,29.455
Landsat_5,4,2,NDVI,32.8875
Landsat_5,4,3,EVI,28.91
Landsat_5,4,3,NDBI,26.635
Landsat_5,4,3,NDVI,30.18
Landsat_5,4,4,EVI,27.9975
Landsat_5,4,4,NDBI,25.6075
Landsat_5,4,4,NDVI,29.575
Landsat_5,4,5,EVI,27.2475
Landsat_5,4,5,NDBI,25.0475
Landsat_5,4,5,NDVI,28.76
Landsat_5,4,6,EVI,26.6925
Landsat_5,4,6,NDBI,24.445
Landsat_5,4,6,NDVI,28.175
Landsat_5,4,7,EVI,26.1575
Landsat_5,4,7,NDBI,23.905
Landsat_5,4,7,NDVI,27.71
Landsat_5,4,8,EVI,25.6575
Landsat_5,4,8,NDBI,23.385
Landsat_5,4,8,NDVI,26.9925
Landsat_5,4,9,EVI,25.1575
Landsat_5,4,9,NDBI,22.9125
Landsat_5,4,9,NDVI,26.53
Landsat_5,4,10,EVI,24.55
Landsat_5,4,10,NDBI,22.3825
Landsat_5,4,10,NDVI,25.9625
Landsat_5,5,1,EVI,29.58000000000001
Landsat_5,5,1,NDBI,25.326000000000004
Landsat_5,5,1,NDVI,28.005999999999993
Landsat_5,5,2,EVI,27.543999999999997
Landsat_5,5,2,NDBI,24.07
Landsat_5,5,2,NDVI,26.734000000000016
Landsat_5,5,3,EVI,23.694000000000003
Landsat_5,5,3,NDBI,21.626000000000005
Landsat_5,5,3,NDVI,24.558000000000007
Landsat_5,5,4,EVI,23.066
Landsat_5,5,4,NDBI,20.866000000000003
Landsat_5,5,4,NDVI,24.13
Landsat_5,5,5,EVI,22.608
Landsat_5,5,5,NDBI,20.532000000000004
Landsat_5,5,5,NDVI,23.64
Landsat_5,5,6,EVI,22.268000000000008
Landsat_5,5,6,NDBI,20.193999999999996
Landsat_5,5,6,NDVI,23.282000000000004
Landsat_5,5,7,EVI,21.863999999999997
Landsat_5,5,7,NDBI,19.827999999999996
Landsat_5,5,7,NDVI,22.91000000000001
