Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,Landsat,100,1,78.67,79.02,78.31,78.72,78.62
2017_2019,Landsat,100,10,83.95,82.76,85.28,86.23,81.62
2017_2019,Landsat,100,20,84.46,83.6,85.38,86.16,82.72
2017_2019,Landsat,100,30,84.26,83.87,84.68,85.28,83.22
2017_2019,Landsat,100,40,84.24,84.07,84.42,84.94,83.53
2017_2019,Landsat,100,50,84.44,84.18,84.7,85.24,83.61
2017_2019,Landsat,100,60,84.9,84.82,84.98,85.43,84.35
2017_2019,Landsat,100,70,84.82,84.53,85.13,85.66,83.96
2017_2019,Landsat,100,80,84.94,84.72,85.16,85.66,84.2
2017_2019,Landsat,100,90,85.05,84.89,85.22,85.7,84.39
2017_2019,Landsat,100,100,84.9,84.61,85.21,85.74,84.04
2017_2019,Landsat,100,110,84.82,84.61,85.04,85.55,84.08
2017_2019,Landsat,100,120,84.65,84.45,84.85,85.35,83.93
2017_2019,Landsat,90,1,77.79,77.15,78.42,78.01,77.57
2017_2019,Landsat,90,10,83.14,80.8,85.73,86.25,80.12
2017_2019,Landsat,90,20,84.2,82.79,85.66,85.74,82.7
2017_2019,Landsat,90,30,84.32,82.67,86.07,86.25,82.45
2017_2019,Landsat,90,40,84.41,82.91,85.97,86.08,82.78
2017_2019,Landsat,90,50,84.62,83.26,86.03,86.08,83.2
2017_2019,Landsat,90,60,84.73,83.4,86.1,86.13,83.37
2017_2019,Landsat,90,70,84.81,83.88,85.75,85.61,84.04
2017_2019,Landsat,90,80,84.79,84.02,85.56,85.35,84.24
2017_2019,Landsat,90,90,84.49,83.75,85.24,85.01,83.99
2017_2019,Landsat,90,100,84.6,83.96,85.24,84.97,84.24
2017_2019,Landsat,90,110,84.79,84.13,85.44,85.18,84.41
2017_2019,Landsat,90,120,84.68,84.07,85.29,85.01,84.37
2017_2019,Landsat,80,1,77.75,77.57,77.93,78.61,76.86
2017_2019,Landsat,80,10,82.39,80.89,84.09,85.21,79.51
2017_2019,Landsat,80,20,83.28,82.4,84.25,85.02,81.52
2017_2019,Landsat,80,30,83.65,83.17,84.16,84.73,82.55
2017_2019,Landsat,80,40,84.16,83.74,84.6,85.12,83.19
2017_2019,Landsat,80,50,84.01,83.83,84.21,84.63,83.38
2017_2019,Landsat,80,60,84.09,83.98,84.2,84.59,83.58
2017_2019,Landsat,80,70,84.11,83.89,84.34,84.78,83.43
2017_2019,Landsat,80,80,84.06,83.91,84.22,84.63,83.48
2017_2019,Landsat,80,90,84.18,84.17,84.19,84.54,83.82
2017_2019,Landsat,80,100,84.14,83.93,84.35,84.78,83.48
2017_2019,Landsat,80,110,84.14,83.86,84.42,84.87,83.38
2017_2019,Landsat,80,120,84.31,84.08,84.54,84.97,83.63
2017_2019,Landsat,70,1,78.7,78.88,78.51,79.09,78.29
2017_2019,Landsat,70,10,82.87,81.46,84.47,85.64,80.02
2017_2019,Landsat,70,20,83.23,82.88,83.6,84.28,82.15
2017_2019,Landsat,70,30,83.59,83.14,84.07,84.77,82.37
2017_2019,Landsat,70,40,83.61,83.65,83.58,84.06,83.16
2017_2019,Landsat,70,50,83.45,83.31,83.6,84.17,82.71
2017_2019,Landsat,70,60,83.75,83.77,83.74,84.22,83.27
2017_2019,Landsat,70,70,84.14,84.18,84.09,84.55,83.72
2017_2019,Landsat,70,80,84.14,84.26,84.02,84.44,83.83
2017_2019,Landsat,70,90,83.95,84.2,83.69,84.06,83.83
2017_2019,Landsat,70,100,84.11,84.18,84.04,84.5,83.72
2017_2019,Landsat,70,110,83.84,83.76,83.92,84.44,83.21
2017_2019,Landsat,70,120,83.92,84.04,83.79,84.22,83.6
2017_2019,Landsat,60,1,78.03,77.87,78.2,78.64,77.42
2017_2019,Landsat,60,10,82.5,81.5,83.58,84.32,80.66
2017_2019,Landsat,60,20,83.12,82.65,83.62,84.07,82.16
2017_2019,Landsat,60,30,83.31,82.95,83.68,84.07,82.53
2017_2019,Landsat,60,40,83.4,83.18,83.63,83.95,82.84
2017_2019,Landsat,60,50,83.28,83.1,83.46,83.77,82.78
2017_2019,Landsat,60,60,83.56,83.6,83.51,83.7,83.41
2017_2019,Landsat,60,70,83.49,83.17,83.83,84.2,82.78
2017_2019,Landsat,60,80,83.49,83.17,83.83,84.2,82.78
2017_2019,Landsat,60,90,83.49,83.42,83.57,83.83,83.16
2017_2019,Landsat,60,100,83.43,83.39,83.47,83.7,83.16
2017_2019,Landsat,60,110,83.62,83.54,83.7,83.95,83.28
2017_2019,Landsat,60,120,83.56,83.35,83.76,84.07,83.03
2017_2019,Landsat,50,1,77.02,78.14,75.9,76.23,77.84
2017_2019,Landsat,50,10,82.36,82.02,82.72,83.73,80.93
2017_2019,Landsat,50,20,84.17,84.22,84.12,84.84,83.47
2017_2019,Landsat,50,30,84.13,84.21,84.06,84.77,83.47
