Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2017_2019,Landsat,0,1,86.76,91.68,49.72,93.21,44.22
2017_2019,Landsat,0,10,91.26,92.54,77.02,97.83,47.99
2017_2019,Landsat,0,20,91.46,92.92,76.32,97.6,51.01
2017_2019,Landsat,0,30,91.46,93.05,75.55,97.45,52.01
2017_2019,Landsat,0,40,91.26,92.97,74.28,97.29,51.51
2017_2019,Landsat,0,50,91.36,93.04,74.73,97.33,52.01
2017_2019,Landsat,0,60,91.43,93.17,74.56,97.26,53.02
2017_2019,Landsat,0,70,91.49,93.24,74.74,97.26,53.52
2017_2019,Landsat,0,80,91.53,93.24,75.0,97.29,53.52
2017_2019,Landsat,0,90,91.43,93.3,73.88,97.1,54.02
2017_2019,Landsat,0,100,91.36,93.23,73.7,97.1,53.52
2017_2019,Landsat,0,110,91.39,93.2,74.13,97.18,53.27
2017_2019,Landsat,0,120,91.49,93.24,74.74,97.26,53.52
2017_2019,Landsat,1,1,87.8,92.21,55.15,93.83,48.89
2017_2019,Landsat,1,10,90.62,92.11,74.21,97.51,46.17
2017_2019,Landsat,1,20,91.15,92.68,75.56,97.47,50.37
2017_2019,Landsat,1,30,91.08,92.64,75.19,97.43,50.12
2017_2019,Landsat,1,40,91.15,92.77,75.0,97.36,51.11
2017_2019,Landsat,1,50,90.98,92.79,73.5,97.13,51.36
2017_2019,Landsat,1,60,91.11,92.86,74.2,97.2,51.85
2017_2019,Landsat,1,70,91.01,92.76,73.93,97.2,51.11
2017_2019,Landsat,1,80,91.08,92.8,74.29,97.24,51.36
2017_2019,Landsat,1,90,91.18,92.93,74.39,97.2,52.35
2017_2019,Landsat,1,100,91.21,92.97,74.48,97.2,52.59
2017_2019,Landsat,1,110,91.18,92.96,74.22,97.17,52.59
2017_2019,Landsat,1,120,91.15,92.96,73.96,97.13,52.59
2017_2019,Landsat,2,1,86.69,91.38,56.11,93.13,50.0
2017_2019,Landsat,2,10,90.24,91.78,76.17,97.23,50.44
2017_2019,Landsat,2,20,90.37,92.07,75.64,97.03,52.44
2017_2019,Landsat,2,30,90.64,92.22,76.92,97.19,53.33
2017_2019,Landsat,2,40,90.77,92.36,77.22,97.19,54.22
2017_2019,Landsat,2,50,90.9,92.5,77.5,97.19,55.11
2017_2019,Landsat,2,60,90.74,92.42,76.64,97.07,54.67
2017_2019,Landsat,2,70,90.84,92.43,77.36,97.19,54.67
2017_2019,Landsat,2,80,90.67,92.38,76.32,97.03,54.44
2017_2019,Landsat,2,90,90.77,92.39,77.04,97.15,54.44
2017_2019,Landsat,2,100,90.8,92.36,77.46,97.23,54.22
2017_2019,Landsat,2,110,90.87,92.43,77.6,97.23,54.67
2017_2019,Landsat,2,120,90.87,92.43,77.6,97.23,54.67
2017_2019,Landsat,3,1,86.3,91.36,54.52,92.66,50.11
2017_2019,Landsat,3,10,90.32,91.99,75.72,97.08,51.86
2017_2019,Landsat,3,20,90.75,92.52,76.2,96.96,55.36
2017_2019,Landsat,3,30,90.65,92.35,76.31,97.04,54.27
2017_2019,Landsat,3,40,90.61,92.41,75.76,96.92,54.7
2017_2019,Landsat,3,50,90.94,92.6,77.27,97.12,55.8
2017_2019,Landsat,3,60,90.81,92.55,76.51,97.0,55.58
2017_2019,Landsat,3,70,90.88,92.59,76.81,97.04,55.8
2017_2019,Landsat,3,80,91.01,92.63,77.58,97.15,56.02
2017_2019,Landsat,3,90,90.91,92.56,77.2,97.12,55.58
2017_2019,Landsat,3,100,90.94,92.56,77.44,97.15,55.58
2017_2019,Landsat,3,110,90.88,92.59,76.81,97.04,55.8
2017_2019,Landsat,3,120,90.91,92.62,76.88,97.04,56.02
2017_2019,Landsat,5,1,88.07,92.06,64.82,93.85,58.35
2017_2019,Landsat,5,10,89.98,91.87,76.04,96.57,56.05
2017_2019,Landsat,5,20,90.82,92.43,79.18,96.98,59.12
2017_2019,Landsat,5,30,90.79,92.49,78.68,96.87,59.5
2017_2019,Landsat,5,40,90.63,92.5,77.56,96.64,59.69
2017_2019,Landsat,5,50,90.76,92.54,78.2,96.75,59.88
2017_2019,Landsat,5,60,90.66,92.51,77.75,96.68,59.69
2017_2019,Landsat,5,70,90.76,92.54,78.2,96.75,59.88
2017_2019,Landsat,5,80,90.57,92.38,77.72,96.72,58.93
2017_2019,Landsat,5,90,90.54,92.4,77.39,96.64,59.12
2017_2019,Landsat,5,100,90.57,92.5,77.17,96.57,59.69
2017_2019,Landsat,5,110,90.6,92.53,77.23,96.57,59.88
2017_2019,Landsat,5,120,90.66,92.51,77.75,96.68,59.69
2017_2019,Landsat,7,1,85.65,90.78,60.56,91.85,57.27
2017_2019,Landsat,7,10,90.55,92.25,80.13,96.6,62.87
2017_2019,Landsat,7,20,91.11,92.74,81.44,96.75,65.32
2017_2019,Landsat,7,30,91.11,92.87,80.9,96.6,66.02
2017_2019,Landsat,7,40,91.24,92.94,81.33,96.67,66.37
2017_2019,Landsat,7,50,91.33,93.07,81.32,96.63,67.08
2017_2019,Landsat,7,60,91.11,92.96,80.51,96.48,66.55
2017_2019,Landsat,7,70,91.11,93.02,80.25,96.4,66.9
2017_2019,Landsat,7,80,91.21,93.06,80.63,96.48,67.08
2017_2019,Landsat,7,90,91.05,92.95,80.17,96.4,66.55
2017_2019,Landsat,7,100,91.02,92.86,80.38,96.48,66.02
2017_2019,Landsat,7,110,91.05,92.92,80.3,96.44,66.37
2017_2019,Landsat,7,120,91.18,93.03,80.59,96.48,66.9
2017_2019,Landsat,10,1,85.51,91.0,61.35,91.21,60.75
2017_2019,Landsat,10,10,90.63,92.21,81.48,96.63,64.5
2017_2019,Landsat,10,20,90.63,92.67,79.65,96.07,66.94
2017_2019,Landsat,10,30,91.08,92.9,81.29,96.41,67.92
2017_2019,Landsat,10,40,91.05,92.83,81.37,96.44,67.59
2017_2019,Landsat,10,50,91.36,93.07,82.1,96.56,68.73
2017_2019,Landsat,10,60,91.3,92.91,82.41,96.67,67.92
2017_2019,Landsat,10,70,91.39,92.95,82.77,96.74,68.08
2017_2019,Landsat,10,80,91.24,92.88,82.21,96.63,67.75
2017_2019,Landsat,10,90,91.3,92.88,82.54,96.71,67.75
2017_2019,Landsat,10,100,91.42,93.02,82.68,96.71,68.4
2017_2019,Landsat,10,110,91.45,92.99,82.97,96.78,68.24
2017_2019,Landsat,10,120,91.45,93.02,82.84,96.74,68.4
2017_2019,Landsat,20,1,85.04,89.6,70.66,90.6,68.29
2017_2019,Landsat,20,10,89.68,91.02,84.66,95.7,71.53
2017_2019,Landsat,20,20,90.17,91.62,84.91,95.66,73.61
2017_2019,Landsat,20,30,90.09,91.43,85.14,95.78,72.92
2017_2019,Landsat,20,40,90.32,91.73,85.2,95.74,73.96
2017_2019,Landsat,20,50,90.43,91.8,85.47,95.82,74.19
2017_2019,Landsat,20,60,90.52,91.81,85.81,95.93,74.19
2017_2019,Landsat,20,70,90.49,91.75,85.89,95.97,73.96
2017_2019,Landsat,20,80,90.49,91.72,85.98,96.01,73.84
2017_2019,Landsat,20,90,90.46,91.8,85.58,95.86,74.19
2017_2019,Landsat,20,100,90.52,91.84,85.71,95.89,74.31
2017_2019,Landsat,20,110,90.46,91.8,85.58,95.86,74.19
2017_2019,Landsat,20,120,90.46,91.8,85.58,95.86,74.19
