year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1990_1992,0,92.48,93.48,91.53,91.33,93.63
1990_1992,1,92.94,92.74,93.13,92.95,92.93
1990_1992,2,92.33,93.11,91.56,91.64,93.04
1990_1992,3,93.23,93.46,93.01,92.93,93.54
1990_1992,4,92.2,92.55,91.88,91.45,92.93
1990_1992,5,92.64,92.23,93.02,92.52,92.75
1990_1992,6,92.18,92.6,91.77,91.61,92.74
1990_1992,7,92.63,93.25,92.04,91.77,93.47
1990_1992,8,92.37,92.26,92.48,92.22,92.52
1990_1992,9,92.72,92.88,92.57,92.31,93.12
1993_1995,0,92.88,92.53,93.21,92.97,92.79
1993_1995,1,92.72,91.98,93.46,93.39,92.06
1993_1995,2,93.35,93.19,93.52,93.58,93.13
1993_1995,3,92.94,92.82,93.05,92.96,92.91
1993_1995,4,92.96,92.6,93.33,93.38,92.54
1993_1995,5,93.0,92.45,93.55,93.5,92.52
1993_1995,6,93.0,92.48,93.55,93.73,92.26
1993_1995,7,92.94,93.11,92.77,92.72,93.16
1993_1995,8,92.83,92.33,93.34,93.38,92.29
1993_1995,9,93.23,93.04,93.42,93.36,93.1
1996_1998,0,92.74,92.23,93.24,93.05,92.44
1996_1998,1,92.7,91.69,93.71,93.62,91.81
1996_1998,2,93.58,92.77,94.42,94.47,92.7
1996_1998,3,92.97,93.12,92.82,92.94,93.0
1996_1998,4,92.89,92.3,93.47,93.35,92.44
1996_1998,5,92.8,92.17,93.45,93.57,92.02
1996_1998,6,93.07,91.83,94.36,94.45,91.7
1996_1998,7,93.11,92.71,93.51,93.46,92.76
1996_1998,8,92.46,91.98,92.93,92.79,92.13
1996_1998,9,93.03,92.28,93.78,93.67,92.4
1999_2001,0,92.74,92.15,93.33,93.32,92.17
1999_2001,1,92.78,92.1,93.48,93.49,92.08
1999_2001,2,92.2,91.26,93.19,93.38,91.01
1999_2001,3,92.82,92.06,93.62,93.75,91.89
1999_2001,4,92.72,91.37,94.14,94.22,91.25
1999_2001,5,92.33,91.64,93.04,93.09,91.58
1999_2001,6,92.23,92.0,92.48,92.73,91.72
1999_2001,7,92.04,90.93,93.17,93.09,91.04
1999_2001,8,92.68,92.22,93.16,93.3,92.06
1999_2001,9,92.4,91.55,93.3,93.53,91.26
