year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1990_1992,0,94.04,93.31,94.8,94.87,93.22
1990_1992,1,94.84,94.58,95.09,94.82,94.86
1990_1992,2,94.6,94.43,94.76,94.35,94.83
1990_1992,3,94.2,93.78,94.64,94.79,93.6
1990_1992,4,94.86,94.9,94.83,94.65,95.07
1990_1992,5,94.93,94.53,95.29,94.86,94.99
1990_1992,6,95.3,95.26,95.34,95.34,95.26
1990_1992,7,94.53,94.85,94.23,93.73,95.27
1990_1992,8,94.68,94.95,94.41,94.28,95.06
1990_1992,9,95.28,95.75,94.82,94.79,95.78
1993_1995,0,94.58,94.03,95.14,95.18,93.98
1993_1995,1,94.43,94.13,94.75,94.92,93.94
1993_1995,2,94.63,94.86,94.39,94.71,94.55
1993_1995,3,94.33,93.32,95.36,95.34,93.35
1993_1995,4,94.98,93.81,96.2,96.24,93.74
1993_1995,5,94.13,93.35,94.92,94.87,93.41
1993_1995,6,94.32,94.1,94.55,94.5,94.15
1993_1995,7,94.36,94.1,94.63,94.49,94.24
1993_1995,8,94.42,93.62,95.21,95.06,93.81
1993_1995,9,93.97,93.69,94.25,94.24,93.7
1996_1998,0,94.58,93.74,95.45,95.55,93.6
1996_1998,1,93.77,94.42,93.13,93.06,94.48
1996_1998,2,94.61,94.65,94.57,94.41,94.8
1996_1998,3,94.2,94.13,94.29,94.51,93.89
1996_1998,4,93.65,93.0,94.32,94.4,92.9
1996_1998,5,94.73,94.84,94.61,94.54,94.92
1996_1998,6,94.55,94.6,94.5,94.6,94.5
1996_1998,7,93.91,94.06,93.77,93.57,94.25
1996_1998,8,93.22,91.66,94.9,95.08,91.37
1996_1998,9,93.65,93.81,93.48,93.73,93.56
1999_2001,0,93.69,93.76,93.61,94.05,93.3
1999_2001,1,93.74,92.83,94.68,94.75,92.74
1999_2001,2,93.86,93.37,94.34,94.26,93.46
1999_2001,3,93.82,92.61,95.12,95.29,92.35
1999_2001,4,93.13,92.85,93.43,93.52,92.74
1999_2001,5,93.97,93.63,94.31,94.11,93.84
1999_2001,6,93.92,94.43,93.4,93.66,94.19
1999_2001,7,93.9,94.33,93.45,93.79,94.02
1999_2001,8,93.24,92.35,94.13,93.97,92.54
1999_2001,9,93.04,92.54,93.52,93.25,92.83
2002_2004,0,93.0,92.33,93.66,93.62,92.39
