year_range,type,count
1990_1992,backward_forward,70044188.0
1990_1992,forward_backward,64144522.0
1990_1992,only_backward,86992789.0
1990_1992,only_forward,44463287.0
1990_1992,GAIA,43218031.0
1993_1995,backward_forward,87042579.0
1993_1995,forward_backward,78182338.0
1993_1995,only_backward,99165204.0
1993_1995,only_forward,54003539.0
1993_1995,GAIA,49081462.0
1996_1998,backward_forward,99538659.0
1996_1998,forward_backward,91296920.0
1996_1998,only_backward,118470999.0
1996_1998,only_forward,61389290.0
1996_1998,GAIA,55003118.0
1999_2001,backward_forward,103553309.0
1999_2001,forward_backward,95251043.0
1999_2001,only_backward,129534484.0
1999_2001,only_forward,66117022.0
1999_2001,GAIA,63251823.0
2002_2004,backward_forward,110479558.0
2002_2004,forward_backward,102076019.0
2002_2004,only_backward,137081066.0
2002_2004,only_forward,75113410.0
2002_2004,GAIA,71112123.0
2005_2007,backward_forward,118244499.0
2005_2007,forward_backward,110143733.0
2005_2007,only_backward,153025319.0
2005_2007,only_forward,86646249.0
2005_2007,GAIA,79315124.0
2008_2010,backward_forward,129340522.0
2008_2010,forward_backward,118845175.0
2008_2010,only_backward,170833752.0
2008_2010,only_forward,99819361.0
2008_2010,GAIA,89055367.0
2011_2013,backward_forward,136366268.0
2011_2013,forward_backward,128094086.0
2011_2013,only_backward,187228332.0
2011_2013,only_forward,115091745.0
2011_2013,GAIA,106342084.0
2014_2016,backward_forward,160557810.0
2014_2016,forward_backward,145370707.0
2014_2016,only_backward,194825848.0
2014_2016,only_forward,139182086.0
2014_2016,GAIA,129429229.0
2014_2016,GIP_2015,92236274.0
2017_2019,backward_forward,172172346.0
2017_2019,forward_backward,157973045.0
2017_2019,only_backward,205187135.0
2017_2019,only_forward,145159993.0
2017_2019,GAIA,131598996.0
