,EN_Name,sum,year,Source,Scale,area_km2,Proportion_total
0,Shandong,11634100.058823526,1991,My,30,10470.690052941174,6.7600377381133665
1,Henan,9259521.39607843,1991,My,30,8333.569256470588,5.032135873767768
2,Beijing,928488.8196078432,1991,My,30,835.6399376470587,5.10376801836596
3,Tianjin,808745.1372549019,1991,My,30,727.8706235294118,6.252109805268955
4,Hebei,7989919.5686274525,1991,My,30,7190.927611764707,3.8402407513749957
5,Anhui,6254352.2352941185,1991,My,30,5628.917011764708,4.016323117041411
6,Jiangsu,5282031.792156864,1991,My,30,4753.828612941177,4.654136998434706
7,Shandong,14079968.117647056,1994,My,30,12671.971305882349,8.181218602683403
8,Henan,12425592.88235294,1994,My,30,11183.033594117644,6.7527541674673435
9,Beijing,1045405.7647058823,1994,My,30,940.8651882352942,5.746443463233947
10,Tianjin,1086105.0745098041,1994,My,30,977.4945670588237,8.396276988995222
11,Hebei,9450855.141176473,1994,My,30,8505.769627058824,4.542418573397787
12,Anhui,8125174.9215686275,1994,My,30,7312.657429411765,5.217699074149857
13,Jiangsu,7382428.113725489,1994,My,30,6644.185302352941,6.50485138567185
14,Shandong,15735161.937254906,1997,My,30,14161.645743529412,9.142975217107136
15,Henan,14226988.82352941,1997,My,30,12804.289941176467,7.7317323187887395
16,Beijing,1239841.6784313724,1997,My,30,1115.8575105882353,6.815229405657091
17,Tianjin,1200487.356862745,1997,My,30,1080.4386211764706,9.280524146851663
18,Hebei,10542955.270588232,1997,My,30,9488.65974352941,5.067320906334464
19,Anhui,9462643.062745098,1997,My,30,8516.378756470589,6.0765736644551875
20,Jiangsu,8668630.36470588,1997,My,30,7801.767328235292,7.638157984213439
21,Shandong,17109080.835294116,2000,My,30,15398.172751764705,9.941295977019132
22,Henan,15331295.945098042,2000,My,30,13798.166350588235,8.331873864382686
23,Beijing,1330420.901960784,2000,My,30,1197.3788117647055,7.313130225155471
24,Tianjin,1305934.8117647062,2000,My,30,1175.3413305882355,10.095699455318979
25,Hebei,11219242.937254902,2000,My,30,10097.318643529408,5.392368916502578
26,Anhui,10489961.28235294,2000,My,30,9440.965154117646,6.736280978457268
27,Jiangsu,10006276.309803924,2000,My,30,9005.64867882353,8.816792973334701
28,Shandong,19577882.996078428,2003,My,30,17620.094696470584,11.375802788070697
29,Henan,16614208.494117646,2003,My,30,14952.78764470588,9.029079474119984
30,Beijing,1760004.188235294,2003,My,30,1584.0037694117646,9.674487078799027
31,Tianjin,1554094.4274509803,2003,My,30,1398.684984705883,12.014129743221808
32,Hebei,12299085.007843133,2003,My,30,11069.176507058815,5.9113795885004246
33,Anhui,11451940.49019608,2003,My,30,10306.746441176474,7.354029897165539
34,Jiangsu,11657004.71372549,2003,My,30,10491.304242352942,10.271293143225062
35,Shandong,22066826.741176475,2006,My,30,19860.144067058827,12.822012942687971
36,Henan,18833656.815686274,2006,My,30,16950.291134117644,10.235250402529871
37,Beijing,1921343.3372549016,2006,My,30,1729.2090035294116,10.561344918642957
38,Tianjin,1745861.7882352942,2006,My,30,1571.275609411765,13.496612346776885
39,Hebei,13249645.94509804,2006,My,30,11924.681350588235,6.368253129786723
40,Anhui,12581591.560784308,2006,My,30,11323.432404705876,8.079451737558689
41,Jiangsu,14335278.082352946,2006,My,30,12901.750274117649,12.631190180452359
42,Shandong,25017977.54509804,2009,My,30,22516.179790588234,14.53679025287992
43,Henan,20498894.666666664,2009,My,30,18449.0052,11.140232719631417
44,Beijing,2089899.9803921569,2009,My,30,1880.9099823529407,11.4878762740667
45,Tianjin,2098232.925490196,2009,My,30,1888.4096329411761,16.220663399254217
46,Hebei,14833187.24705882,2009,My,30,13349.86852235294,7.129359644945282
47,Anhui,15072663.133333335,2009,My,30,13565.396820000005,9.679129524584203
48,Jiangsu,17310372.270588238,2009,My,30,15579.335043529414,15.25262384085823
49,Shandong,27849621.49019609,2012,My,30,25064.65934117648,16.182127651817392
50,Henan,23464366.34117648,2012,My,30,21117.929707058836,12.751833984710089
51,Beijing,2389560.3490196075,2012,My,30,2150.604314117647,13.135065743099291
52,Tianjin,2467560.772549019,2012,My,30,2220.804695294117,19.07580050931212
53,Hebei,16989724.929411765,2012,My,30,15290.752436470588,8.16586868843622
54,Anhui,17052058.07058824,2012,My,30,15346.852263529414,10.950226729405722
55,Jiangsu,20617963.192156874,2012,My,30,18556.16687294119,18.167029109417467
56,Shandong,30793059.011764705,2015,My,30,27713.753110588237,17.892423130193645
57,Henan,27017863.33333335,2015,My,30,24316.07700000001,14.683000718568664
58,Beijing,2616927.780392157,2015,My,30,2355.235002352941,14.384871449049907
59,Tianjin,2880413.8156862743,2015,My,30,2592.372434117648,22.267414826641883
60,Hebei,19691277.02745097,2015,My,30,17722.149324705882,9.46433112848241
61,Anhui,19222897.91764706,2015,My,30,17300.608125882354,12.344263063326236
62,Jiangsu,23502976.71764705,2015,My,30,21152.67904588234,20.70909033099248
63,Shandong,35561268.447058834,2018,My,30,32005.14160235295,20.66300921444948
64,Henan,31424716.06274509,2018,My,30,28282.244456470587,17.07792814100285
65,Beijing,2922324.9843137264,2018,My,30,2630.0924858823537,16.063595467430243
66,Tianjin,3250755.823529412,2018,My,30,2925.68024117647,25.130392038966416
67,Hebei,22726991.98431373,2018,My,30,20454.292785882357,10.923404175059469
68,Anhui,23412181.92941177,2018,My,30,21070.9637364706,15.034472630570313
69,Jiangsu,26900088.63529411,2018,My,30,24210.079771764704,23.702374901377205
