Name_CN,Name_EN,year_range,Area_Year_Book,Area_pixel,Area_pixel_km2
北京市,Beijing,1993_1995,467.0,1100963.2078431374,990.8668870588237
北京市,Beijing,1996_1998,488.0,1290031.7529411765,1161.028577647059
北京市,Beijing,1999_2001,488.0,1404239.9294117647,1263.8159364705882
北京市,Beijing,2002_2004,1180.0,1890003.9921568625,1701.003592941176
北京市,Beijing,2005_2007,1226.0,2111569.9843137255,1900.4129858823528
北京市,Beijing,2008_2010,1350.0,2344297.5294117643,2109.867776470588
北京市,Beijing,2011_2013,1261.0,2704249.9725490194,2433.8249752941174
北京市,Beijing,2014_2016,1401.0,3038160.31372549,2734.3442823529417
北京市,Beijing,2017_2019,1469.0,3407114.411764706,3066.4029705882353
天津市,Tianjin,1993_1995,339.0,1114368.0509803921,1002.9312458823529
天津市,Tianjin,1996_1998,380.0,1241014.4196078433,1116.9129776470588
天津市,Tianjin,1999_2001,386.0,1384795.0274509804,1246.3155247058826
天津市,Tianjin,2002_2004,487.0,1652990.105882353,1487.6910952941175
天津市,Tianjin,2005_2007,540.0,1842911.5882352942,1658.620429411765
天津市,Tianjin,2008_2010,662.0,2261442.6745098038,2035.2984070588236
天津市,Tianjin,2011_2013,722.0,2732477.1019607843,2459.2293917647057
天津市,Tianjin,2014_2016,870.0,3339630.1254901965,3005.667112941177
天津市,Tianjin,2017_2019,1078.0,3790667.101960784,3411.600391764705
石家庄市,Shijiazhuang,1993_1995,95.0,1392624.8235294116,1253.3623411764704
石家庄市,Shijiazhuang,1996_1998,103.0,1542896.674509804,1388.6070070588235
石家庄市,Shijiazhuang,1999_2001,112.0,1631246.6705882354,1468.1220035294118
石家庄市,Shijiazhuang,2002_2004,141.0,1792079.745098039,1612.8717705882352
石家庄市,Shijiazhuang,2005_2007,175.0,1918067.1411764703,1726.2604270588233
石家庄市,Shijiazhuang,2008_2010,201.0,2180284.8431372545,1962.256358823529
石家庄市,Shijiazhuang,2011_2013,216.0,2429183.925490196,2186.2655329411764
石家庄市,Shijiazhuang,2014_2016,278.0,2840595.250980392,2556.535725882353
石家庄市,Shijiazhuang,2017_2019,309.0,3167087.082352941,2850.3783741176467
唐山市,Tangshan,1993_1995,117.0,883480.3333333334,795.1323000000001
唐山市,Tangshan,1996_1998,119.0,1016274.3411764706,914.6469070588237
唐山市,Tangshan,1999_2001,122.0,1119071.2039215686,1007.1640835294119
唐山市,Tangshan,2002_2004,187.0,1294457.537254902,1165.0117835294118
唐山市,Tangshan,2005_2007,209.0,1477193.1294117651,1329.4738164705889
唐山市,Tangshan,2008_2010,224.0,1843033.905882353,1658.7305152941176
唐山市,Tangshan,2011_2013,247.0,2111481.549019608,1900.3333941176472
唐山市,Tangshan,2014_2016,249.0,2441863.796078431,2197.677416470588
唐山市,Tangshan,2017_2019,249.0,2909525.176470589,2618.5726588235298
邯郸市,Handan,1993_1995,74.0,1245501.1686274512,1120.9510517647059
邯郸市,Handan,1996_1998,77.0,1345107.9607843137,1210.5971647058825
邯郸市,Handan,1999_2001,80.0,1418690.0549019605,1276.8210494117643
邯郸市,Handan,2002_2004,101.0,1532891.1607843135,1379.6020447058822
邯郸市,Handan,2005_2007,102.0,1639848.5450980389,1475.863690588235
邯郸市,Handan,2008_2010,108.0,1765932.3019607842,1589.3390717647057
邯郸市,Handan,2011_2013,117.0,2151128.807843137,1936.0159270588233
邯郸市,Handan,2014_2016,127.0,2485825.698039216,2237.2431282352945
邯郸市,Handan,2017_2019,189.0,2819615.933333333,2537.65434
邢台市,Xingtai,1993_1995,25.0,1248170.262745098,1123.3532364705882
邢台市,Xingtai,1996_1998,34.0,1317826.505882353,1186.0438552941177
邢台市,Xingtai,1999_2001,37.0,1376396.4745098038,1238.7568270588233
邢台市,Xingtai,2002_2004,47.0,1486602.4862745097,1337.9422376470586
邢台市,Xingtai,2005_2007,51.0,1586221.901960784,1427.5997117647055
邢台市,Xingtai,2008_2010,70.0,1701721.8666666665,1531.5496799999996
邢台市,Xingtai,2011_2013,72.0,2073872.9333333338,1866.4856400000003
