Mode,Window,Iteration,year,Size,Correct_num,Accuracy
only_forward,2,1,1990_1992,1980,1938,97.87878787878788
only_forward,2,1,1993_1995,1980,1930,97.47474747474747
only_forward,2,1,1996_1998,1980,1929,97.42424242424242
only_forward,2,1,1999_2001,1980,1935,97.72727272727273
only_forward,2,1,2002_2004,1980,1938,97.87878787878788
only_forward,2,1,2005_2007,1980,1930,97.47474747474747
only_forward,2,1,2008_2010,1980,1926,97.27272727272728
only_forward,2,1,2011_2013,1980,1860,93.93939393939394
only_forward,2,1,2014_2016,2017,1949,96.62865642042637
only_forward,2,1,2017_2019,2017,1945,96.43034209221616
only_forward,2,2,1990_1992,1980,1928,97.37373737373738
only_forward,2,2,1993_1995,1980,1927,97.32323232323232
only_forward,2,2,1996_1998,1980,1923,97.12121212121212
only_forward,2,2,1999_2001,1980,1930,97.47474747474747
only_forward,2,2,2002_2004,1980,1924,97.17171717171718
only_forward,2,2,2005_2007,1980,1921,97.02020202020202
only_forward,2,2,2008_2010,1980,1853,93.58585858585859
only_forward,2,2,2011_2013,1980,1831,92.47474747474747
only_forward,2,2,2014_2016,2017,1949,96.62865642042637
only_forward,2,2,2017_2019,2017,1945,96.43034209221616
only_forward,2,3,1990_1992,1980,1921,97.02020202020202
only_forward,2,3,1993_1995,1980,1917,96.81818181818181
only_forward,2,3,1996_1998,1980,1919,96.91919191919192
only_forward,2,3,1999_2001,1980,1914,96.66666666666667
only_forward,2,3,2002_2004,1980,1911,96.51515151515152
only_forward,2,3,2005_2007,1980,1852,93.53535353535354
only_forward,2,3,2008_2010,1980,1824,92.12121212121212
only_forward,2,3,2011_2013,1980,1831,92.47474747474747
only_forward,2,3,2014_2016,2017,1949,96.62865642042637
only_forward,2,3,2017_2019,2017,1945,96.43034209221616
only_forward,2,4,1990_1992,1980,1910,96.46464646464646
only_forward,2,4,1993_1995,1980,1913,96.6161616161616
only_forward,2,4,1996_1998,1980,1906,96.26262626262626
only_forward,2,4,1999_2001,1980,1906,96.26262626262626
only_forward,2,4,2002_2004,1980,1843,93.08080808080808
only_forward,2,4,2005_2007,1980,1824,92.12121212121212
only_forward,2,4,2008_2010,1980,1824,92.12121212121212
only_forward,2,4,2011_2013,1980,1831,92.47474747474747
only_forward,2,4,2014_2016,2017,1949,96.62865642042637
only_forward,2,4,2017_2019,2017,1945,96.43034209221616
only_forward,2,5,1990_1992,1980,1907,96.31313131313132
only_forward,2,5,1993_1995,1980,1900,95.95959595959596
only_forward,2,5,1996_1998,1980,1899,95.9090909090909
only_forward,2,5,1999_2001,1980,1839,92.87878787878789
only_forward,2,5,2002_2004,1980,1814,91.61616161616162
only_forward,2,5,2005_2007,1980,1824,92.12121212121212
only_forward,2,5,2008_2010,1980,1824,92.12121212121212
only_forward,2,5,2011_2013,1980,1831,92.47474747474747
only_forward,2,5,2014_2016,2017,1949,96.62865642042637
only_forward,2,5,2017_2019,2017,1945,96.43034209221616
only_forward,2,6,1990_1992,1980,1894,95.65656565656566
only_forward,2,6,1993_1995,1980,1892,95.55555555555556
only_forward,2,6,1996_1998,1980,1833,92.57575757575758
only_forward,2,6,1999_2001,1980,1810,91.41414141414141
only_forward,2,6,2002_2004,1980,1814,91.61616161616162
only_forward,2,6,2005_2007,1980,1824,92.12121212121212
only_forward,2,6,2008_2010,1980,1824,92.12121212121212
only_forward,2,6,2011_2013,1980,1831,92.47474747474747
only_forward,2,6,2014_2016,2017,1949,96.62865642042637
only_forward,2,6,2017_2019,2017,1945,96.43034209221616
only_forward,2,7,1990_1992,1980,1886,95.25252525252526
only_forward,2,7,1993_1995,1980,1828,92.32323232323232
only_forward,2,7,1996_1998,1980,1804,91.11111111111111
only_forward,2,7,1999_2001,1980,1810,91.41414141414141
only_forward,2,7,2002_2004,1980,1814,91.61616161616162
only_forward,2,7,2005_2007,1980,1824,92.12121212121212
only_forward,2,7,2008_2010,1980,1824,92.12121212121212
only_forward,2,7,2011_2013,1980,1831,92.47474747474747
only_forward,2,7,2014_2016,2017,1949,96.62865642042637
only_forward,2,7,2017_2019,2017,1945,96.43034209221616
only_forward,2,8,1990_1992,1980,1824,92.12121212121212
only_forward,2,8,1993_1995,1980,1799,90.85858585858585
only_forward,2,8,1996_1998,1980,1804,91.11111111111111
only_forward,2,8,1999_2001,1980,1810,91.41414141414141
only_forward,2,8,2002_2004,1980,1814,91.61616161616162
only_forward,2,8,2005_2007,1980,1824,92.12121212121212
only_forward,2,8,2008_2010,1980,1824,92.12121212121212
only_forward,2,8,2011_2013,1980,1831,92.47474747474747
only_forward,2,8,2014_2016,2017,1949,96.62865642042637
only_forward,2,8,2017_2019,2017,1945,96.43034209221616
only_forward,2,9,1990_1992,1980,1795,90.65656565656566
only_forward,2,9,1993_1995,1980,1799,90.85858585858585
only_forward,2,9,1996_1998,1980,1804,91.11111111111111
only_forward,2,9,1999_2001,1980,1810,91.41414141414141
only_forward,2,9,2002_2004,1980,1814,91.61616161616162
only_forward,2,9,2005_2007,1980,1824,92.12121212121212
only_forward,2,9,2008_2010,1980,1824,92.12121212121212
only_forward,2,9,2011_2013,1980,1831,92.47474747474747
only_forward,2,9,2014_2016,2017,1949,96.62865642042637
only_forward,2,9,2017_2019,2017,1945,96.43034209221616
only_forward,2,10,1990_1992,1980,1795,90.65656565656566
only_forward,2,10,1993_1995,1980,1799,90.85858585858585
only_forward,2,10,1996_1998,1980,1804,91.11111111111111
only_forward,2,10,1999_2001,1980,1810,91.41414141414141
only_forward,2,10,2002_2004,1980,1814,91.61616161616162
only_forward,2,10,2005_2007,1980,1824,92.12121212121212
only_forward,2,10,2008_2010,1980,1824,92.12121212121212
only_forward,2,10,2011_2013,1980,1831,92.47474747474747
only_forward,2,10,2014_2016,2017,1949,96.62865642042637
only_forward,2,10,2017_2019,2017,1945,96.43034209221616
only_forward,3,1,1990_1992,1980,1944,98.18181818181819
only_forward,3,1,1993_1995,1980,1941,98.03030303030303
only_forward,3,1,1996_1998,1980,1938,97.87878787878788
only_forward,3,1,1999_2001,1980,1947,98.33333333333333
only_forward,3,1,2002_2004,1980,1942,98.08080808080808
